# x y Q2 xsec_nu xsec_nub
1.393028e-02 7.112535e-01 1.929789e+01 1.328454e-01 1.257720e-01
1.933365e-02 6.778735e-01 2.242426e+01 8.730821e-02 8.130857e-02
2.618787e-02 3.420799e-01 6.828809e+00 4.742965e-02 4.217710e-02
2.644545e-02 6.461703e-01 2.612712e+01 6.167183e-02 5.643653e-02
3.561296e-02 2.840821e-01 6.907514e+00 3.081240e-02 2.603441e-02
3.592398e-02 6.120078e-01 3.017750e+01 3.968576e-02 3.504680e-02
4.941063e-02 5.728409e-01 3.454362e+01 2.453940e-02 2.039868e-02
6.824646e-02 5.255767e-01 3.857764e+01 1.481980e-02 1.115171e-02
9.274568e-02 4.751059e-01 4.205248e+01 9.075992e-03 5.896682e-03
9.412185e-02 7.499282e-01 1.572669e+02 8.248687e-03 5.217391e-03
1.245706e-01 4.228735e-01 4.504177e+01 5.647643e-03 3.013320e-03
1.262110e-01 7.150683e-01 1.737009e+02 4.999979e-03 2.567235e-03
1.762184e-01 3.584918e-01 4.776532e+01 3.148765e-03 1.261383e-03
1.782427e-01 6.759831e-01 1.995641e+02 2.651865e-03 9.952960e-04
2.400823e-01 3.021400e-01 4.962674e+01 1.716203e-03 5.345945e-04
2.421912e-01 6.418335e-01 2.293747e+02 1.359998e-03 3.792474e-04
3.176404e-01 2.447095e-01 5.005013e+01 8.819504e-04 2.539254e-04
3.175747e-01 6.032992e-01 2.564692e+02 6.678819e-04 1.629305e-04
4.558388e-01 1.737523e-01 4.863520e+01 3.506446e-04 1.281305e-04
4.597014e-01 5.338693e-01 2.913261e+02 2.331354e-04 6.763413e-05
6.219440e-01 1.380262e-01 4.979030e+01 1.060399e-04 4.063184e-05
6.262032e-01 4.842151e-01 3.232249e+02 5.724658e-05 1.794543e-05
8.240402e-01 4.407261e-01 3.521460e+02 2.162262e-06 1.226839e-06
