# x y Q2 xsec_nu xsec_nub
3.935174e-03 6.039872e-01 6.040579e+00 2.995700e+00 2.748899e+00
3.975526e-03 7.157199e-01 1.487356e+01 3.476594e+00 3.186185e+00
5.403948e-03 5.577508e-01 6.165655e+00 2.148574e+00 1.947497e+00
5.480604e-03 7.004717e-01 1.665470e+01 2.437897e+00 2.190972e+00
7.401293e-03 4.933202e-01 6.352144e+00 1.578696e+00 1.418560e+00
7.522945e-03 6.517657e-01 1.779121e+01 1.740806e+00 1.535360e+00
1.012615e-02 4.387500e-01 6.424522e+00 1.149169e+00 1.021441e+00
1.024377e-02 6.352035e-01 1.992611e+01 1.238400e+00 1.061740e+00
1.389877e-02 3.875239e-01 6.516656e+00 8.337319e-01 7.322543e-01
1.397721e-02 5.957322e-01 2.206044e+01 8.900574e-01 7.411010e-01
1.906675e-02 3.303651e-01 6.620624e+00 6.097572e-01 5.311440e-01
1.919832e-02 5.514160e-01 2.468896e+01 6.495694e-01 5.252072e-01
2.617263e-02 2.662553e-01 6.657024e+00 4.465325e-01 3.884241e-01
2.635360e-02 5.129648e-01 2.727705e+01 4.599336e-01 3.569923e-01
2.670555e-02 7.656207e-01 1.353544e+02 4.314540e-01 2.997968e-01
3.596199e-02 2.205474e-01 6.723955e+00 3.213134e-01 2.777739e-01
3.614249e-02 4.682673e-01 3.050140e+01 3.254535e-01 2.423511e-01
3.671994e-02 7.141497e-01 1.463598e+02 2.982362e-01 1.908158e-01
4.934622e-02 1.760581e-01 6.716840e+00 2.302737e-01 1.987503e-01
4.955873e-02 4.143784e-01 3.318186e+01 2.296312e-01 1.651892e-01
5.025595e-02 6.678798e-01 1.598885e+02 2.063016e-01 1.201194e-01
6.758983e-02 1.378905e-01 6.730815e+00 1.642579e-01 1.418014e-01
6.784900e-02 3.599770e-01 3.598523e+01 1.613236e-01 1.129554e-01
6.874033e-02 6.239805e-01 1.736149e+02 1.423097e-01 7.470278e-02
9.272940e-02 1.028990e-01 6.790087e+00 1.164958e-01 1.011150e-01
9.293054e-02 3.042892e-01 3.833299e+01 1.123489e-01 7.760788e-02
9.391490e-02 5.715929e-01 1.902040e+02 9.782247e-02 4.673611e-02
1.272132e-01 7.880442e-02 6.777959e+00 8.166900e-02 7.121679e-02
1.276026e-01 2.466884e-01 3.980892e+01 7.709063e-02 5.371539e-02
1.285848e-01 5.163333e-01 2.117900e+02 6.600553e-02 2.928049e-02
1.749518e-01 5.887910e-02 6.824613e+00 5.546123e-02 4.908705e-02
1.751235e-01 1.955571e-01 4.121801e+01 5.111395e-02 3.649109e-02
1.763035e-01 4.496433e-01 2.321588e+02 4.286107e-02 1.867547e-02
1.796713e-01 7.578531e-01 1.185299e+03 2.906729e-02 6.063702e-03
2.399774e-01 4.489079e-02 6.821242e+00 3.528267e-02 3.206855e-02
2.401838e-01 1.511189e-01 4.187658e+01 3.147039e-02 2.339967e-02
2.411908e-01 3.884530e-01 2.580569e+02 2.557507e-02 1.140024e-02
2.465716e-01 6.757788e-01 1.285863e+03 1.653641e-02 3.160336e-03
3.281811e-01 3.211239e-02 6.756885e+00 2.023819e-02 1.906879e-02
3.279072e-01 1.159519e-01 4.248249e+01 1.701524e-02 1.334903e-02
3.291019e-01 3.220135e-01 2.745630e+02 1.321390e-02 6.519772e-03
3.351575e-01 6.009866e-01 1.383337e+03 8.094238e-03 1.674500e-03
4.455514e-01 2.458819e-02 6.758874e+00 9.713400e-03 9.320517e-03
4.441668e-01 8.773486e-02 4.211977e+01 7.432322e-03 6.161007e-03
4.438784e-01 2.644420e-01 2.903870e+02 5.384055e-03 3.029902e-03
4.464736e-01 5.231165e-01 1.470894e+03 3.168732e-03 8.492057e-04
5.910464e-01 1.954495e-02 7.181839e+00 3.245612e-03 3.209973e-03
5.998290e-01 6.514104e-02 4.088514e+01 2.008443e-03 1.704546e-03
5.990002e-01 2.103109e-01 2.971197e+02 1.269412e-03 8.061488e-04
