# x y Q2 xsec_nu xsec_nub
1.385063e-02 3.821035e-01 6.670798e+00 1.117183e-01 1.065521e-01
1.397249e-02 6.139078e-01 2.219100e+01 1.393001e-01 1.341118e-01
1.897114e-02 3.268559e-01 6.776168e+00 7.364328e-02 6.907100e-02
1.913206e-02 5.726543e-01 2.529710e+01 9.819883e-02 9.362739e-02
2.605123e-02 2.651640e-01 6.825623e+00 4.752839e-02 4.345251e-02
2.625164e-02 5.315617e-01 2.873589e+01 6.290393e-02 5.886414e-02
3.580854e-02 2.174994e-01 6.881571e+00 2.976232e-02 2.608415e-02
3.603125e-02 4.811181e-01 3.226350e+01 3.948040e-02 3.590265e-02
4.902745e-02 1.718246e-01 6.907326e+00 1.842683e-02 1.505483e-02
4.931257e-02 4.280145e-01 3.553794e+01 2.431080e-02 2.111956e-02
6.706405e-02 1.354724e-01 6.922404e+00 1.142702e-02 8.296479e-03
6.737106e-02 3.702030e-01 3.852393e+01 1.474726e-02 1.191463e-02
6.831344e-02 6.340919e-01 1.622108e+02 1.356878e-02 1.080527e-02
9.184980e-02 1.025953e-01 6.965142e+00 7.120331e-03 4.405351e-03
9.214433e-02 3.109034e-01 4.093082e+01 8.829109e-03 6.378806e-03
9.311046e-02 5.778234e-01 1.797718e+02 8.021089e-03 5.703574e-03
1.263422e-01 2.528677e-01 4.269064e+01 5.173654e-03 3.224128e-03
1.274444e-01 5.197259e-01 2.007561e+02 4.588976e-03 2.813254e-03
1.736555e-01 2.004623e-01 4.425000e+01 2.886294e-03 1.487604e-03
1.749297e-01 4.525338e-01 2.231877e+02 2.472168e-03 1.252370e-03
2.379986e-01 1.554523e-01 4.538638e+01 1.454536e-03 5.865458e-04
2.391501e-01 3.891835e-01 2.484091e+02 1.191647e-03 4.710336e-04
3.232849e-01 1.201244e-01 4.656690e+01 6.476526e-04 1.944378e-04
3.245295e-01 3.212046e-01 2.638961e+02 5.104115e-04 1.468303e-04
4.353398e-01 8.953245e-02 4.597119e+01 2.655454e-04 5.012500e-05
