# x y Q2 xsec_nu xsec_nub
1.009586e-02 4.334195e-01 6.600040e+00 3.458581e-01 3.289769e-01
1.020002e-02 6.394607e-01 2.038658e+01 4.361489e-01 4.191036e-01
1.385726e-02 3.727988e-01 6.671756e+00 2.328058e-01 2.184124e-01
1.397312e-02 6.039326e-01 2.328649e+01 2.946803e-01 2.801151e-01
1.898097e-02 3.193062e-01 6.775371e+00 1.547357e-01 1.424553e-01
1.915054e-02 5.618268e-01 2.622875e+01 2.078907e-01 1.954121e-01
2.606309e-02 2.598013e-01 6.829996e+00 1.005270e-01 8.972067e-02
2.626011e-02 5.236423e-01 2.940217e+01 1.340218e-01 1.232961e-01
3.586107e-02 2.120533e-01 6.879070e+00 6.343703e-02 5.368655e-02
3.605037e-02 4.753079e-01 3.294814e+01 8.458745e-02 7.514325e-02
4.915519e-02 1.674471e-01 6.883763e+00 3.962391e-02 3.066534e-02
4.939149e-02 4.224644e-01 3.592998e+01 5.234761e-02 4.392712e-02
6.732017e-02 1.313386e-01 6.878554e+00 2.461555e-02 1.642894e-02
6.754799e-02 3.643326e-01 3.874254e+01 3.196544e-02 2.449011e-02
6.842848e-02 6.236408e-01 1.706921e+02 2.952449e-02 2.225699e-02
9.246860e-02 9.752035e-02 6.896947e+00 1.553508e-02 8.295142e-03
9.257347e-02 3.044206e-01 4.092029e+01 1.919490e-02 1.274690e-02
9.349247e-02 5.722205e-01 1.896704e+02 1.742357e-02 1.133025e-02
1.268797e-01 7.388883e-02 6.876201e+00 9.948626e-03 4.022969e-03
1.270656e-01 2.461617e-01 4.228631e+01 1.147263e-02 6.218624e-03
1.280476e-01 5.174213e-01 2.123656e+02 1.011550e-02 5.338634e-03
1.743130e-01 5.441390e-02 6.917297e+00 6.078599e-03 1.905032e-03
1.746289e-01 1.933571e-01 4.339280e+01 6.709602e-03 2.842323e-03
1.757866e-01 4.505320e-01 2.353980e+02 5.658145e-03 2.313446e-03
2.394509e-01 1.493378e-01 4.414386e+01 3.635895e-03 1.222624e-03
2.405199e-01 3.880584e-01 2.598486e+02 2.899610e-03 9.302269e-04
3.271202e-01 1.141438e-01 4.481865e+01 1.728637e-03 5.491217e-04
3.281963e-01 3.206807e-01 2.777514e+02 1.312821e-03 3.976845e-04
4.454651e-01 8.626407e-02 4.477540e+01 7.823605e-04 3.021479e-04
4.455736e-01 2.607403e-01 2.936606e+02 5.643750e-04 1.998213e-04
5.999524e-01 6.642752e-02 4.593394e+01 2.742829e-04 1.089597e-04
