# x y Q2 xsec_nu xsec_nub
1.396526e-02 6.019750e-01 2.332059e+01 1.421488e-01 1.369311e-01
1.913382e-02 5.599315e-01 2.626541e+01 9.946214e-02 9.487281e-02
2.625743e-02 5.202130e-01 2.940431e+01 6.347329e-02 5.942291e-02
3.604578e-02 4.718979e-01 3.295219e+01 3.974493e-02 3.616021e-02
4.938306e-02 4.194722e-01 3.597405e+01 2.438458e-02 2.119067e-02
6.752152e-02 3.622262e-01 3.875933e+01 1.475113e-02 1.191851e-02
9.252826e-02 3.033539e-01 4.094649e+01 8.792098e-03 6.346151e-03
9.344133e-02 5.708749e-01 1.897269e+02 7.978644e-03 5.672269e-03
1.269449e-01 2.458006e-01 4.235913e+01 5.140109e-03 3.197575e-03
1.279670e-01 5.168239e-01 2.125055e+02 4.542988e-03 2.782133e-03
1.743870e-01 1.940184e-01 4.368067e+01 2.867501e-03 1.474596e-03
1.756119e-01 4.508031e-01 2.356770e+02 2.441053e-03 1.234618e-03
2.391147e-01 1.506729e-01 4.458843e+01 1.440813e-03 5.787835e-04
2.402363e-01 3.893641e-01 2.604718e+02 1.170976e-03 4.612488e-04
3.262988e-01 1.156504e-01 4.542340e+01 6.325223e-04 1.880298e-04
3.274339e-01 3.226443e-01 2.789027e+02 4.927753e-04 1.401029e-04
