# x y Q2 xsec_nu xsec_nub
8.046324e-04 8.122765e-01 4.831400e+00 1.563517e+01 1.499108e+01
1.131088e-03 7.696071e-01 5.219073e+00 1.106945e+01 1.054115e+01
1.539150e-03 7.771092e-01 5.481134e+00 7.772018e+00 7.319923e+00
1.573256e-03 8.422593e-01 1.123314e+01 9.137278e+00 8.647583e+00
2.096814e-03 7.122642e-01 5.608940e+00 5.678585e+00 5.308404e+00
2.184225e-03 8.237878e-01 1.244817e+01 6.393217e+00 5.981229e+00
2.869635e-03 6.705471e-01 5.934729e+00 4.112452e+00 3.805893e+00
2.946959e-03 7.894239e-01 1.311645e+01 4.607579e+00 4.259045e+00
3.943026e-03 6.045664e-01 6.096135e+00 2.995949e+00 2.749044e+00
3.972767e-03 7.463314e-01 1.428936e+01 3.372078e+00 3.077526e+00
5.400903e-03 5.454504e-01 6.250716e+00 2.180862e+00 1.982025e+00
5.462217e-03 7.123974e-01 1.550426e+01 2.389739e+00 2.142115e+00
7.407910e-03 4.913547e-01 6.384382e+00 1.581817e+00 1.422061e+00
7.477478e-03 6.692363e-01 1.700404e+01 1.716842e+00 1.508955e+00
1.012327e-02 4.283858e-01 6.466649e+00 1.161091e+00 1.035274e+00
1.021861e-02 6.350370e-01 1.880974e+01 1.230311e+00 1.054278e+00
1.123175e-02 9.848776e-01 1.107862e+02 1.143079e+00 9.303454e-01
1.388862e-02 3.652545e-01 6.540854e+00 8.497160e-01 7.523341e-01
1.399056e-02 5.940533e-01 2.135880e+01 8.860321e-01 7.377146e-01
1.492998e-02 8.745883e-01 1.128865e+02 8.383266e-01 6.554548e-01
1.904186e-02 3.102535e-01 6.632113e+00 6.200584e-01 5.449865e-01
1.917185e-02 5.471104e-01 2.404552e+01 6.372062e-01 5.138571e-01
1.975530e-02 8.326099e-01 1.197972e+02 6.051456e-01 4.474323e-01
2.614892e-02 2.494748e-01 6.671027e+00 4.524330e-01 3.971523e-01
2.630818e-02 5.027400e-01 2.691785e+01 4.631225e-01 3.614724e-01
2.691126e-02 7.853605e-01 1.275112e+02 4.236453e-01 2.913478e-01
3.596034e-02 2.041716e-01 6.705126e+00 3.246382e-01 2.836565e-01
3.612124e-02 4.480402e-01 2.991541e+01 3.288664e-01 2.482250e-01
3.680106e-02 7.299887e-01 1.362004e+02 2.956577e-01 1.873144e-01
4.931844e-02 1.597910e-01 6.717452e+00 2.326624e-01 2.033953e-01
4.950799e-02 3.895578e-01 3.232551e+01 2.325080e-01 1.708177e-01
5.017436e-02 6.734088e-01 1.470953e+02 2.066174e-01 1.198599e-01
6.758056e-02 1.253596e-01 6.730438e+00 1.653859e-01 1.444413e-01
6.778894e-02 3.300814e-01 3.458198e+01 1.635115e-01 1.181149e-01
6.862820e-02 6.068704e-01 1.585780e+02 1.438436e-01 7.693619e-02
9.274173e-02 9.536329e-02 6.758562e+00 1.168655e-01 1.022552e-01
9.293341e-02 2.729192e-01 3.640282e+01 1.136963e-01 8.167463e-02
9.372546e-02 5.432464e-01 1.735769e+02 9.934486e-02 4.942563e-02
1.273308e-01 7.279305e-02 6.762983e+00 8.177525e-02 7.183449e-02
1.276017e-01 2.201460e-01 3.782189e+01 7.782701e-02 5.636653e-02
1.284485e-01 4.756467e-01 1.883674e+02 6.732238e-02 3.211035e-02
1.335969e-01 8.743898e-01 1.078022e+03 4.522929e-02 1.076564e-02
1.751975e-01 5.443805e-02 6.774114e+00 5.544402e-02 4.937847e-02
1.753566e-01 1.746925e-01 3.904138e+01 5.140529e-02 3.798289e-02
1.764741e-01 4.045630e-01 2.040779e+02 4.370867e-02 2.094399e-02
1.819466e-01 7.503125e-01 1.137808e+03 2.892405e-02 6.059521e-03
2.402512e-01 4.118382e-02 6.780888e+00 3.525857e-02 3.224128e-02
2.403748e-01 1.362062e-01 4.006690e+01 3.160735e-02 2.415402e-02
2.418629e-01 3.422046e-01 2.216430e+02 2.609134e-02 1.298002e-02
2.476690e-01 6.742387e-01 1.195742e+03 1.684341e-02 3.224702e-03
3.286255e-01 3.045662e-02 6.758413e+00 2.018803e-02 1.907807e-02
3.285079e-01 1.053151e-01 4.065878e+01 1.703952e-02 1.365201e-02
3.300310e-01 2.852610e-01 2.383118e+02 1.345646e-02 7.273819e-03
3.369281e-01 5.723614e-01 1.258880e+03 8.310805e-03 1.907610e-03
4.458559e-01 2.274997e-02 6.745842e+00 9.697941e-03 9.339047e-03
4.444499e-01 8.091582e-02 4.097386e+01 7.451232e-03 6.260755e-03
4.453155e-01 2.372466e-01 2.559670e+02 5.464242e-03 3.280284e-03
4.513364e-01 4.989778e-01 1.326915e+03 3.187022e-03 9.264598e-04
5.896130e-01 1.812664e-02 7.085058e+00 3.296393e-03 3.270261e-03
6.001048e-01 6.122700e-02 4.019377e+01 2.011867e-03 1.720044e-03
5.993560e-01 1.936508e-01 2.691910e+02 1.298421e-03 8.545883e-04
6.057598e-01 4.265655e-01 1.385019e+03 6.766108e-04 2.536995e-04
7.388997e-01 1.702473e-02 9.398851e+00 7.213297e-04 7.190352e-04
7.758685e-01 4.776463e-02 3.998128e+01 2.271852e-04 2.036400e-04
7.800199e-01 1.574949e-01 2.715710e+02 1.040362e-04 7.806624e-05
7.791444e-01 3.592108e-01 1.443340e+03 5.049878e-05 2.564902e-05
