# x y Q2 xsec_nu xsec_nub
5.401195e-03 5.439196e-01 6.251543e+00 1.057769e+00 9.521353e-01
7.410191e-03 4.890806e-01 6.387775e+00 7.666182e-01 6.826607e-01
7.476784e-03 6.672572e-01 1.700461e+01 8.340726e-01 7.241414e-01
1.012331e-02 4.262315e-01 6.469914e+00 5.613477e-01 4.965011e-01
1.021578e-02 6.328953e-01 1.881208e+01 5.964628e-01 5.049888e-01
1.388739e-02 3.631113e-01 6.539708e+00 4.092096e-01 3.603421e-01
1.398937e-02 5.920830e-01 2.137966e+01 4.281579e-01 3.528105e-01
1.903965e-02 3.077139e-01 6.630922e+00 2.976539e-01 2.610689e-01
1.917006e-02 5.446870e-01 2.406169e+01 3.071942e-01 2.459162e-01
2.615296e-02 2.478988e-01 6.669583e+00 2.165076e-01 1.903414e-01
2.631036e-02 5.010238e-01 2.694523e+01 2.227799e-01 1.731347e-01
3.596680e-02 2.032196e-01 6.704673e+00 1.551513e-01 1.362059e-01
3.612351e-02 4.461964e-01 2.990834e+01 1.582995e-01 1.193957e-01
3.681340e-02 7.282304e-01 1.361576e+02 1.429376e-01 8.985063e-02
4.932382e-02 1.594546e-01 6.715370e+00 1.113646e-01 9.812836e-02
4.952215e-02 3.881378e-01 3.232392e+01 1.122121e-01 8.265760e-02
5.019539e-02 6.720145e-01 1.470728e+02 1.002030e-01 5.780712e-02
6.759367e-02 1.251675e-01 6.731886e+00 7.961131e-02 7.030287e-02
6.780696e-02 3.289131e-01 3.456226e+01 7.927436e-02 5.763982e-02
6.864475e-02 6.058354e-01 1.587007e+02 7.012330e-02 3.744302e-02
9.275826e-02 9.527526e-02 6.758225e+00 5.641878e-02 5.015250e-02
9.295676e-02 2.723188e-01 3.640088e+01 5.535052e-02 4.017254e-02
9.375961e-02 5.419868e-01 1.734747e+02 4.865895e-02 2.431400e-02
1.273295e-01 7.279205e-02 6.764667e+00 3.941416e-02 3.533936e-02
1.276194e-01 2.199887e-01 3.784366e+01 3.789595e-02 2.786631e-02
1.284778e-01 4.749960e-01 1.883406e+02 3.299888e-02 1.591567e-02
1.751608e-01 5.445231e-02 6.776770e+00 2.657538e-02 2.420363e-02
1.753542e-01 1.747998e-01 3.909197e+01 2.493769e-02 1.879084e-02
1.764852e-01 4.044364e-01 2.041043e+02 2.135252e-02 1.040668e-02
2.402176e-01 4.122266e-02 6.784980e+00 1.690760e-02 1.574600e-02
2.403736e-01 1.363742e-01 4.014669e+01 1.529380e-02 1.194698e-02
2.418389e-01 3.424071e-01 2.217649e+02 1.270349e-02 6.447012e-03
3.286813e-01 3.046333e-02 6.764434e+00 9.751222e-03 9.301748e-03
3.284894e-01 1.054293e-01 4.072507e+01 8.279714e-03 6.748263e-03
3.299444e-01 2.849431e-01 2.379178e+02 6.570738e-03 3.593728e-03
4.461492e-01 2.273731e-02 6.745305e+00 4.721150e-03 4.582446e-03
4.443982e-01 8.081161e-02 4.094675e+01 3.633392e-03 3.070306e-03
4.450320e-01 2.360677e-01 2.544478e+02 2.684883e-03 1.596511e-03
5.900589e-01 1.807096e-02 7.090529e+00 1.657559e-03 1.643372e-03
6.011778e-01 6.085558e-02 4.004987e+01 9.815356e-04 8.491961e-04
6.004312e-01 1.916281e-01 2.670836e+02 6.421876e-04 4.164555e-04
