# x y Q2 xsec_nu xsec_nub
8.306233e-04 8.469338e-01 4.927529e+00 2.837132e+00 2.859146e+00
1.113865e-03 8.083360e-01 5.262501e+00 2.096206e+00 2.106538e+00
1.545075e-03 7.514483e-01 5.668769e+00 1.504240e+00 1.505092e+00
1.578582e-03 8.568574e-01 1.144470e+01 1.871868e+00 1.873345e+00
2.076633e-03 6.764568e-01 5.823302e+00 1.104523e+00 1.099470e+00
2.115423e-03 8.272248e-01 1.249683e+01 1.355829e+00 1.351272e+00
2.899157e-03 6.432971e-01 5.901025e+00 7.412636e-01 7.323738e-01
2.913439e-03 7.856534e-01 1.368578e+01 9.504917e-01 9.420130e-01
3.938525e-03 6.153707e-01 6.145659e+00 5.176027e-01 5.073173e-01
3.987933e-03 7.355543e-01 1.441882e+01 6.617917e-01 6.516097e-01
5.322264e-03 5.561668e-01 6.281850e+00 3.670763e-01 3.566488e-01
5.402997e-03 7.173521e-01 1.617140e+01 4.639751e-01 4.535947e-01
7.439074e-03 4.986360e-01 6.381029e+00 2.465454e-01 2.369595e-01
7.515079e-03 6.808763e-01 1.781125e+01 3.125635e-01 3.029380e-01
1.015122e-02 4.355575e-01 6.531327e+00 1.705725e-01 1.621676e-01
1.024720e-02 6.508875e-01 2.027435e+01 2.148554e-01 2.063731e-01
1.102310e-02 9.793340e-01 1.040956e+02 2.233435e-01 2.147972e-01
1.379055e-02 3.892273e-01 6.597720e+00 1.153356e-01 1.081621e-01
1.390372e-02 6.234309e-01 2.274725e+01 1.459329e-01 1.386647e-01
1.474326e-02 9.063900e-01 1.109561e+02 1.515659e-01 1.442342e-01
1.916564e-02 3.418614e-01 6.668681e+00 7.466848e-02 6.860650e-02
1.932650e-02 5.888801e-01 2.588901e+01 1.009879e-01 9.480358e-02
1.993301e-02 8.434057e-01 1.210527e+02 9.955969e-02 9.329541e-02
2.623757e-02 2.911641e-01 6.731012e+00 4.853139e-02 4.319792e-02
2.642207e-02 5.560911e-01 2.904182e+01 6.526690e-02 5.994324e-02
2.693947e-02 7.940864e-01 1.280514e+02 6.410021e-02 5.868674e-02
3.571452e-02 2.546276e-01 6.789943e+00 3.099910e-02 2.618010e-02
3.594366e-02 5.186894e-01 3.212223e+01 4.157303e-02 3.687355e-02
3.655398e-02 7.607278e-01 1.373702e+02 4.002727e-02 3.528163e-02
4.917943e-02 2.149424e-01 6.815489e+00 1.923978e-02 1.482242e-02
4.946846e-02 4.814640e-01 3.515472e+01 2.544135e-02 2.126220e-02
5.027522e-02 7.234394e-01 1.508152e+02 2.403845e-02 1.987605e-02
6.789034e-02 1.761453e-01 6.866001e+00 1.188421e-02 7.855849e-03
6.830912e-02 4.399387e-01 3.802483e+01 1.524090e-02 1.154792e-02
6.922175e-02 6.903846e-01 1.653412e+02 1.416610e-02 1.056481e-02
9.265022e-02 1.421291e-01 6.894277e+00 7.594395e-03 4.023568e-03
9.305708e-02 3.954742e-01 4.030541e+01 9.236412e-03 6.044309e-03
9.405665e-02 6.583519e-01 1.814750e+02 8.421989e-03 5.394463e-03
1.252497e-01 1.227334e-01 7.279865e+00 5.011442e-03 2.070120e-03
1.264325e-01 3.557393e-01 4.215660e+01 5.607612e-03 2.988467e-03
1.275652e-01 6.267663e-01 2.014265e+02 4.966176e-03 2.571699e-03
1.371255e-01 9.249715e-01 1.114402e+03 3.143452e-03 1.488290e-03
1.729222e-01 1.047658e-01 8.206458e+00 3.093337e-03 1.009790e-03
1.765195e-01 3.080919e-01 4.382165e+01 3.187658e-03 1.290686e-03
1.780687e-01 5.942587e-01 2.279901e+02 2.670807e-03 1.030023e-03
1.853441e-01 8.532075e-01 1.166363e+03 1.723807e-03 6.154091e-04
2.238462e-01 9.375892e-02 9.185433e+00 1.915081e-03 5.574229e-04
2.406623e-01 2.669367e-01 4.553801e+01 1.733048e-03 5.462602e-04
2.423502e-01 5.619296e-01 2.548470e+02 1.364210e-03 3.965420e-04
2.476946e-01 8.067603e-01 1.245091e+03 8.681543e-04 2.341171e-04
3.207433e-01 2.307453e-01 4.785439e+01 8.670544e-04 2.517752e-04
3.224747e-01 5.226508e-01 2.777905e+02 6.460801e-04 1.674837e-04
3.271690e-01 7.647202e-01 1.315062e+03 3.999936e-04 9.504796e-05
4.547111e-01 1.893719e-01 5.198079e+01 3.478678e-04 1.258126e-04
4.589157e-01 4.692306e-01 3.069763e+02 2.369511e-04 7.204724e-05
4.664647e-01 7.203180e-01 1.422484e+03 1.351420e-04 3.565084e-05
6.197966e-01 1.582872e-01 5.679160e+01 1.041663e-04 3.940557e-05
6.251092e-01 4.186124e-01 3.318343e+02 5.873165e-05 1.918921e-05
6.341153e-01 6.820942e-01 1.528707e+03 2.793898e-05 8.075782e-06
8.174184e-01 1.343821e-01 6.195706e+01 5.477326e-06 3.071284e-06
8.232084e-01 3.707681e-01 3.541137e+02 2.251541e-06 1.295375e-06
8.301582e-01 6.483269e-01 1.640952e+03 8.715310e-07 5.126738e-07
