# x y Q2 xsec_nu xsec_nub
8.507888e-04 8.464889e-01 5.063867e+00 7.120095e+00 6.798842e+00
1.178552e-03 8.058639e-01 4.834649e+00 4.859367e+00 4.591663e+00
1.532992e-03 7.603126e-01 5.540871e+00 3.854146e+00 3.619956e+00
2.060220e-03 6.825954e-01 5.689271e+00 2.893464e+00 2.700153e+00
2.242183e-03 7.290027e-01 1.178987e+01 3.171420e+00 2.964820e+00
2.896113e-03 6.543940e-01 5.783363e+00 1.979366e+00 1.819444e+00
2.990638e-03 7.258243e-01 1.342775e+01 2.315248e+00 2.135014e+00
3.946820e-03 5.978113e-01 6.180885e+00 1.464883e+00 1.333818e+00
4.019631e-03 7.132306e-01 1.450176e+01 1.660154e+00 1.505514e+00
5.338481e-03 5.393820e-01 6.307400e+00 1.079496e+00 9.736829e-01
5.434743e-03 7.158538e-01 1.588420e+01 1.170936e+00 1.037455e+00
7.452604e-03 4.987856e-01 6.379795e+00 7.551161e-01 6.703246e-01
7.506587e-03 6.776566e-01 1.740280e+01 8.276588e-01 7.169181e-01
1.016357e-02 4.355971e-01 6.440034e+00 5.538360e-01 4.881484e-01
1.024804e-02 6.350243e-01 1.970645e+01 5.981098e-01 5.063011e-01
1.382801e-02 3.948681e-01 6.601307e+00 4.019518e-01 3.497432e-01
1.395398e-02 6.154385e-01 2.175192e+01 4.237669e-01 3.465661e-01
1.401114e-02 8.822752e-01 1.145997e+02 4.385008e-01 3.421826e-01
1.922357e-02 3.409212e-01 6.627538e+00 2.870308e-01 2.475727e-01
1.933062e-02 5.877849e-01 2.501323e+01 3.035627e-01 2.394034e-01
2.000103e-02 8.203729e-01 1.187158e+02 2.895600e-01 2.115483e-01
2.628492e-02 2.864515e-01 6.676718e+00 2.094303e-01 1.800552e-01
2.647388e-02 5.446927e-01 2.803643e+01 2.161916e-01 1.638807e-01
2.708508e-02 8.032132e-01 1.281720e+02 2.015315e-01 1.359060e-01
3.583614e-02 2.491501e-01 6.716960e+00 1.511210e-01 1.286390e-01
3.603057e-02 5.085697e-01 3.085810e+01 1.537188e-01 1.110993e-01
3.673280e-02 7.612449e-01 1.367735e+02 1.415100e-01 8.740458e-02
4.941729e-02 2.118627e-01 6.777063e+00 1.077350e-01 9.097848e-02
4.968365e-02 4.750771e-01 3.382689e+01 1.072286e-01 7.313777e-02
5.041732e-02 7.252194e-01 1.503444e+02 9.778114e-02 5.403156e-02
6.806013e-02 1.730795e-01 6.780848e+00 7.700028e-02 6.493293e-02
6.838444e-02 4.295144e-01 3.662819e+01 7.515668e-02 4.890232e-02
6.917819e-02 6.924165e-01 1.649522e+02 6.751024e-02 3.276972e-02
9.290282e-02 1.434869e-01 6.836393e+00 5.507390e-02 4.642767e-02
9.333666e-02 3.896520e-01 3.883819e+01 5.270592e-02 3.279285e-02
9.437595e-02 6.573490e-01 1.800798e+02 4.669204e-02 1.978306e-02
1.261559e-01 1.201524e-01 7.278829e+00 3.917429e-02 3.311333e-02
1.275240e-01 3.524208e-01 4.081136e+01 3.637442e-02 2.183822e-02
1.288401e-01 6.311792e-01 2.031961e+02 3.159515e-02 1.149311e-02
1.418273e-01 8.869236e-01 1.063902e+03 2.057769e-02 4.538236e-03
1.731401e-01 1.035039e-01 8.201496e+00 2.657153e-02 2.253237e-02
1.765489e-01 3.069666e-01 4.266956e+01 2.386268e-02 1.423691e-02
1.781503e-01 5.975430e-01 2.275892e+02 2.017768e-02 6.365943e-03
1.836806e-01 8.593404e-01 1.187995e+03 1.365498e-02 2.290738e-03
2.244700e-01 9.437172e-02 9.197634e+00 1.838375e-02 1.565196e-02
2.409877e-01 2.651274e-01 4.434650e+01 1.481245e-02 8.991119e-03
2.428289e-01 5.616092e-01 2.536513e+02 1.209052e-02 3.450385e-03
2.490341e-01 8.079370e-01 1.249264e+03 7.948473e-03 9.966514e-04
3.241001e-01 2.309513e-01 4.676398e+01 8.313320e-03 5.199942e-03
3.264887e-01 5.264358e-01 2.788493e+02 6.461810e-03 1.765201e-03
3.320449e-01 7.666735e-01 1.323777e+03 4.108757e-03 4.122320e-04
4.547778e-01 1.983912e-01 5.113100e+01 3.227382e-03 2.099457e-03
4.588076e-01 4.803096e-01 3.078951e+02 2.281851e-03 6.561981e-04
4.667845e-01 7.271770e-01 1.405653e+03 1.330279e-03 1.217148e-04
6.194833e-01 1.660011e-01 5.633498e+01 7.564718e-04 5.195834e-04
6.251378e-01 4.313318e-01 3.340146e+02 4.637454e-04 1.516298e-04
6.331444e-01 6.863307e-01 1.522430e+03 2.407849e-04 2.548330e-05
8.173032e-01 1.399931e-01 6.128863e+01 6.277785e-05 4.329534e-05
8.222475e-01 3.843235e-01 3.569282e+02 3.088680e-05 1.033387e-05
8.310733e-01 6.534099e-01 1.645124e+03 1.339167e-05 9.577404e-07
