# x y Q2 xsec_nu xsec_nub
1.398053e-02 4.831765e-01 4.770261e+01 5.062668e-01 4.768883e-01
1.917116e-02 3.944006e-01 5.041943e+01 3.590272e-01 3.446867e-01
2.631041e-02 3.116160e-01 5.198715e+01 2.511026e-01 2.488313e-01
3.612192e-02 2.409100e-01 5.294549e+01 1.719667e-01 1.780909e-01
3.657460e-02 6.699116e-01 1.971353e+02 1.363465e-01 1.062232e-01
4.960426e-02 1.833446e-01 5.356738e+01 1.153821e-01 1.264312e-01
5.015816e-02 6.277982e-01 2.455233e+02 9.008833e-02 6.753831e-02
6.808867e-02 1.903477e-02 6.996176e+00 7.353835e-02 9.669003e-02
6.812537e-02 1.379624e-01 5.399063e+01 7.597940e-02 8.916428e-02
6.882691e-02 5.953107e-01 3.120083e+02 5.820086e-02 4.175690e-02
9.353892e-02 1.389577e-02 6.997183e+00 4.891729e-02 6.839472e-02
9.357808e-02 1.029049e-01 5.428953e+01 4.908434e-02 6.244994e-02
9.443435e-02 5.675535e-01 4.003750e+02 3.662886e-02 2.513594e-02
1.285094e-01 1.013412e-02 6.998422e+00 3.221895e-02 4.840336e-02
1.285491e-01 7.624803e-02 5.448180e+01 3.104689e-02 4.337385e-02
1.292217e-01 5.044849e-01 4.668931e+02 2.288996e-02 1.628627e-02
1.765425e-01 7.387330e-03 6.999000e+00 2.045234e-02 3.375473e-02
1.765844e-01 5.622966e-02 5.462474e+01 1.880503e-02 2.937228e-02
1.771496e-01 4.164170e-01 4.988306e+02 1.372769e-02 1.134367e-02
2.425368e-01 5.383750e-03 6.998145e+00 1.188965e-02 2.245589e-02
2.425721e-01 4.133289e-02 5.473034e+01 1.037247e-02 1.870124e-02
2.430948e-01 3.312546e-01 5.167088e+02 7.396033e-03 7.715087e-03
2.470088e-01 7.375984e-01 1.546409e+03 4.832598e-03 1.482587e-03
3.331848e-01 3.921787e-03 6.999551e+00 6.014730e-03 1.352713e-02
3.332298e-01 3.030614e-02 5.480632e+01 4.802688e-03 1.052747e-02
3.337105e-01 2.573358e-01 5.274033e+02 3.265341e-03 4.647117e-03
4.577236e-01 2.855022e-03 6.999026e+00 2.345388e-03 6.605609e-03
4.578007e-01 2.217583e-02 5.486139e+01 1.608119e-03 4.607299e-03
4.582292e-01 1.965311e-01 5.342818e+02 9.907312e-04 2.102471e-03
6.288422e-01 2.077549e-03 7.000107e+00 4.237497e-04 2.022334e-03
6.289119e-01 1.620197e-02 5.488959e+01 2.404994e-04 1.096138e-03
6.293286e-01 1.482258e-01 5.388599e+02 1.221981e-04 4.699060e-04
6.359488e-01 6.025115e-01 2.934461e+03 4.017815e-05 4.973672e-05
8.639634e-01 1.182877e-02 5.493218e+01 5.893341e-06 2.845377e-05
8.643574e-01 1.107764e-01 5.421004e+02 2.120294e-06 8.180735e-06
8.727823e-01 5.757393e-01 3.774206e+03 3.383066e-07 6.237777e-07
