Experiment = FASERv2 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 508736.1 |    del_theta = 0.1 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 100.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
1.743329e-03    2.395027e-03    2.095454e-03   4.000000e+00         1.000000e+01         5.774745e+00        1.133635e+01         5.698000e+03         2.220010e+03        1.078627e+01                                           1.969801e+02    1.403496e+01                       5.95401             0.0283681                 0.0343019                0.0916231                6.644360e+05 
2.395027e-03    3.290345e-03    2.865641e-03   4.000000e+00         1.000000e+01         6.075666e+00        1.133635e+01         5.698000e+03         1.857502e+03        8.007432e+00                                           4.031564e+02    2.007875e+01                       10.2005             0.0216605                 0.0277306                0.0839586                7.521050e+05 
3.290345e-03    4.520354e-03    3.935987e-03   4.000000e+00         1.000000e+01         6.258025e+00        1.133635e+01         5.698000e+03         1.558987e+03        5.840020e+00                                           7.369671e+02    2.714714e+01                       23.6899             0.0233062                 0.0190441                0.0834631                8.150010e+05 
3.290345e-03    4.520354e-03    3.954047e-03   1.000000e+01         1.000000e+02         1.446167e+01        1.133635e+01         5.698000e+03         2.703523e+03        6.764298e+00                                           2.760002e+02    1.661325e+01                       29.6912             0.0106592                 0.0513435                0.0308053                1.287030e+05 
4.520354e-03    6.210169e-03    5.394919e-03   4.000000e+00         1.000000e+01         6.374309e+00        1.133635e+01         5.698000e+03         1.327292e+03        4.252657e+00                                           1.201486e+03    3.466247e+01                       30.6473             0.0175335                 0.017323                 0.0744014                8.609570e+05 
4.520354e-03    6.210169e-03    5.447586e-03   1.000000e+01         1.000000e+02         1.580926e+01        1.133635e+01         5.698000e+03         2.294023e+03        4.728458e+00                                           6.926571e+02    2.631838e+01                       47.8342             0.00721608                0.046208                 0.0204937                2.080750e+05 
6.210169e-03    8.531679e-03    7.393432e-03   4.000000e+00         1.000000e+01         6.482877e+00        1.133635e+01         5.698000e+03         1.109277e+03        3.014460e+00                                           1.793848e+03    4.235384e+01                       49.0096             0.00871807                0.0637214                0.0394885                8.943580e+05 
6.210169e-03    8.531679e-03    7.461809e-03   1.000000e+01         1.000000e+02         1.781421e+01        1.133635e+01         5.698000e+03         2.008031e+03        3.286519e+00                                           1.489343e+03    3.859201e+01                       89.1249             0.00352047                0.0664989                0.0240506                3.214800e+05 
8.531679e-03    1.172102e-02    1.011717e-02   4.000000e+00         1.000000e+01         6.570376e+00        1.133635e+01         5.698000e+03         9.514529e+02        2.145668e+00                                           2.495537e+03    4.995535e+01                       25.9659             0.0103099                 0.0225117                0.042661                 9.191780e+05 
8.531679e-03    1.172102e-02    1.020017e-02   1.000000e+01         1.000000e+02         2.009135e+01        1.133635e+01         5.698000e+03         1.767060e+03        2.263619e+00                                           2.878907e+03    5.365545e+01                       126.094             0.0021516                 0.0538778                0.0194966                4.718570e+05 
