Experiment = FASERv2 | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 660 cm | Total Events = 66590.5 |        del_theta = 0.06 mrad, theta_max = 50.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.935987e-03   4.000000e+00         1.000000e+01         6.258025e+00        1.133635e+01         5.698000e+03         1.558987e+03        1.393172e+00                                           1.331933e+02    1.154094e+01                       8.00526             0.0330256                 0.00605128               0.126821                 8.151330e+05 
4.520354e-03    6.210169e-03    5.394919e-03   4.000000e+00         1.000000e+01         6.374309e+00        1.133635e+01         5.698000e+03         1.327292e+03        1.009927e+00                                           2.206075e+02    1.485286e+01                       10.9134             0.0178228                 0.00719112               0.116639                 8.609620e+05 
4.520354e-03    6.210169e-03    5.447586e-03   1.000000e+01         1.000000e+02         1.580926e+01        1.133635e+01         5.698000e+03         2.294023e+03        1.105568e+00                                           1.165745e+02    1.079697e+01                       10.2067             0.0105316                 0.053094                 0.0271079                2.092480e+05 
6.210169e-03    8.531679e-03    7.393432e-03   4.000000e+00         1.000000e+01         6.482877e+00        1.133635e+01         5.698000e+03         1.109277e+03        7.130412e-01                                           3.330419e+02    1.824944e+01                       7.09675             0.0164401                 0.0213721                0.0791443                8.949650e+05 
6.210169e-03    8.531679e-03    7.461809e-03   1.000000e+01         1.000000e+02         1.781421e+01        1.133635e+01         5.698000e+03         2.008031e+03        7.634064e-01                                           2.515644e+02    1.586078e+01                       20.231              0.00427832                0.0678172                0.00979967               3.209100e+05 
8.531679e-03    1.172102e-02    1.011717e-02   4.000000e+00         1.000000e+01         6.570376e+00        1.133635e+01         5.698000e+03         9.514529e+02        5.058340e-01                                           4.666722e+02    2.160260e+01                       16.2422             0.0110362                 0.0103967                0.0684634                9.190190e+05 
8.531679e-03    1.172102e-02    1.020017e-02   1.000000e+01         1.000000e+02         2.009135e+01        1.133635e+01         5.698000e+03         1.767060e+03        5.201827e-01                                           4.946018e+02    2.223965e+01                       19.9027             0.00184427                0.0381488                0.00731899               4.715360e+05 
1.172102e-02    1.610262e-02    1.387925e-02   4.000000e+00         1.000000e+01         6.643154e+00        1.133635e+01         5.698000e+03         8.378849e+02        3.766857e-01                                           6.174657e+02    2.484886e+01                       20.6125             0.0145727                 0.00148292               0.0665641                9.366920e+05 
1.172102e-02    1.610262e-02    1.398688e-02   1.000000e+01         1.000000e+02         2.325518e+01        1.133635e+01         5.698000e+03         1.586426e+03        3.691651e-01                                           8.592386e+02    2.931277e+01                       19.66               0.00130442                0.0457779                0.0155136                6.107880e+05 
1.610262e-02    2.212216e-02    1.901717e-02   4.000000e+00         1.000000e+01         6.731313e+00        1.133635e+01         5.698000e+03         7.412892e+02        2.781478e-01                                           7.757637e+02    2.785253e+01                       62.8576             0.00922635                0.00134626               0.0913391                9.482230e+05 
