Experiment = FASERv | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(25.1) | Exp. Target Length = 80 cm | Total Events = 249.5 |        del_theta = 0.06 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 100.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 100.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.039195e-02    4.175319e-02    3.612675e-02   1.000000e+01         1.000000e+02         3.290249e+01        1.133635e+01         5.698000e+03         1.150143e+03        1.263148e-01                                           1.388500e+01    3.726258e+00                       0.416668            0.000423867               0.00780376               0.0357601                8.399900e+05 
4.175319e-02    5.736153e-02    4.945883e-02   1.000000e+01         1.000000e+02         3.513974e+01        1.133635e+01         5.698000e+03         1.035026e+03        8.670567e-02                                           1.799803e+01    4.242409e+00                       1.13358             0.000258268               0.00151409               0.0597244                8.745390e+05 
5.736153e-02    7.880463e-02    6.751423e-02   1.000000e+01         1.000000e+02         3.956447e+01        1.133635e+01         5.698000e+03         9.810558e+02        5.911422e-02                                           2.003924e+01    4.476521e+00                       1.92367             0.000543078               0.0142573                0.0789668                8.700070e+05 
7.880463e-02    1.082637e-01    9.254843e-02   1.000000e+01         1.000000e+02         4.552310e+01        1.133635e+01         5.698000e+03         9.552362e+02        4.225726e-02                                           2.002467e+01    4.474894e+00                       2.79171             0.000762996               0.0509336                0.0925879                8.351730e+05 
1.082637e-01    1.487352e-01    1.269145e-01   1.000000e+01         1.000000e+02         5.196812e+01        1.133635e+01         5.698000e+03         9.326410e+02        2.910443e-02                                           1.884462e+01    4.341039e+00                       3.662               0.00084532                0.0955584                0.112446                 7.759710e+05 
1.487352e-01    2.043360e-01    1.741739e-01   1.000000e+01         1.000000e+02         5.961387e+01        1.133635e+01         5.698000e+03         9.210574e+02        1.913167e-02                                           1.580362e+01    3.975377e+00                       3.98167             0.000928065               0.142795                 0.13518                  6.871890e+05 
1.487352e-01    2.043360e-01    1.763218e-01   1.000000e+02         1.000000e+03         2.209139e+02        1.133635e+01         5.698000e+03         1.686899e+03        1.156440e-02                                           1.270497e+01    3.564403e+00                       2.01352             0.000605578               0.126294                 0.043611                 6.357160e+05 
2.043360e-01    2.807216e-01    2.381481e-01   1.000000e+01         1.000000e+02         6.846379e+01        1.133635e+01         5.698000e+03         9.193052e+02        1.173756e-02                                           1.118520e+01    3.344428e+00                       3.42046             0.00073164                0.181669                 0.161724                 5.613990e+05 
2.043360e-01    2.807216e-01    2.417367e-01   1.000000e+02         1.000000e+03         2.405777e+02        1.133635e+01         5.698000e+03         1.583046e+03        7.115563e-03                                           1.473854e+01    3.839081e+00                       2.82596             0.000620788               0.149636                 0.0542062                7.023010e+05 
2.807216e-01    3.856620e-01    3.298547e-01   1.000000e+02         1.000000e+03         2.583952e+02        1.133635e+01         5.698000e+03         1.496804e+03        3.831991e-03                                           1.475078e+01    3.840674e+00                       2.9673              0.00106845                0.145535                 0.0774768                7.454290e+05 
3.856620e-01    5.298317e-01    4.448551e-01   1.000000e+02         1.000000e+03         2.773949e+02        1.133635e+01         5.698000e+03         1.432054e+03        1.814039e-03                                           1.077703e+01    3.282839e+00                       0.913491            0.000722597               0.0128015                0.0938774                7.754250e+05 
