Experiment = FLArE100 | seed 2 | Neutrino = nunubar,14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 45150.1 |    del_theta = 15.0 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.0 GeV, Elepton_max = 10000.0 GeV|    del_Ehadron = 30.0 %, Ehadron_min = 0.0 GeV, Ehadron_max = 10000.0 GeV 
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.949298e-03   4.000000e+00         1.000000e+01         6.106562e+00        1.133635e+01         5.698000e+03         1.269905e+03        9.777250e-01                                           1.449843e+02    1.204094e+01                       22.3855             0.171285                  0.0861065                0.102769                 8.302400e+05 
4.520354e-03    6.210169e-03    5.404645e-03   4.000000e+00         1.000000e+01         6.286698e+00        1.133635e+01         5.698000e+03         1.052556e+03        6.762152e-01                                           2.395290e+02    1.547672e+01                       11.9058             0.0485696                 0.0483198                0.0859546                8.760850e+05 
4.520354e-03    6.210169e-03    5.488403e-03   1.000000e+01         1.000000e+02         1.443041e+01        1.133635e+01         5.698000e+03         1.866416e+03        9.020913e-01                                           1.256702e+02    1.121027e+01                       8.54623             0.11506                   0.0778157                0.0176492                2.165350e+05 
6.210169e-03    8.531679e-03    7.400587e-03   4.000000e+00         1.000000e+01         6.451869e+00        1.133635e+01         5.698000e+03         8.749983e+02        4.568382e-01                                           3.528133e+02    1.878333e+01                       31.4164             0.0939705                 0.0760879                0.0601012                9.088510e+05 
6.210169e-03    8.531679e-03    7.490513e-03   1.000000e+01         1.000000e+02         1.585517e+01        1.133635e+01         5.698000e+03         1.596218e+03        6.087200e-01                                           2.789947e+02    1.670313e+01                       45.671              0.183282                  0.0838726                0.0219601                3.317310e+05 
8.531679e-03    1.172102e-02    1.011160e-02   4.000000e+00         1.000000e+01         6.559731e+00        1.133635e+01         5.698000e+03         7.408329e+02        3.035081e-01                                           4.780766e+02    2.186496e+01                       82.7998             0.182842                  0.0540705                0.0454819                9.320240e+05 
8.531679e-03    1.172102e-02    1.022070e-02   1.000000e+01         1.000000e+02         1.771225e+01        1.133635e+01         5.698000e+03         1.376758e+03        4.022631e-01                                           5.416998e+02    2.327445e+01                       131.071             0.254487                  0.0542051                0.0218807                4.843060e+05 
1.172102e-02    1.610262e-02    1.385680e-02   4.000000e+00         1.000000e+01         6.657113e+00        1.133635e+01         5.698000e+03         6.377264e+02        2.103709e-01                                           5.978875e+02    2.445174e+01                       151.253             0.264834                  0.0203368                0.042655                 9.479770e+05 
1.172102e-02    1.610262e-02    1.398964e-02   1.000000e+01         1.000000e+02         2.030513e+01        1.133635e+01         5.698000e+03         1.225980e+03        2.779850e-01                                           9.400689e+02    3.066054e+01                       279.92              0.297256                  0.0485991                0.0220287                6.204600e+05 
1.610262e-02    2.212216e-02    1.897748e-02   4.000000e+00         1.000000e+01         6.771187e+00        1.133635e+01         5.698000e+03         5.522353e+02        1.416849e-01                                           6.930892e+02    2.632659e+01                       211.172             0.311521                  0.0236528                0.0316713                9.592860e+05 
1.610262e-02    2.212216e-02    1.914940e-02   1.000000e+01         1.000000e+02         2.346452e+01        1.133635e+01         5.698000e+03         1.103927e+03        1.901908e-01                                           1.479557e+03    3.846501e+01                       508.77              0.340993                  0.0237121                0.0248803                7.198540e+05 
2.212216e-02    3.039195e-02    2.605222e-02   4.000000e+00         1.000000e+01         6.823914e+00        1.133635e+01         5.698000e+03         4.975003e+02        9.133640e-02                                           7.430771e+02    2.725944e+01                       265.18              0.368592                  0.0391602                0.0445664                9.672090e+05 
2.212216e-02    3.039195e-02    2.627459e-02   1.000000e+01         1.000000e+02         2.716075e+01        1.133635e+01         5.698000e+03         1.000997e+03        1.248950e-01                                           2.120920e+03    4.605345e+01                       812.753             0.373816                  0.0119062                0.0326777                7.915300e+05 
