Experiment = FLArE100 | seed 2 | Neutrino = 14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 60440.9 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.936127e-03   4.000000e+00         1.000000e+01         6.175501e+00        1.133635e+01         5.698000e+03         1.390667e+03        9.858311e-01                                           1.630453e+02    1.276892e+01                       27.2197             0.136109                  0.0840364                0.138145                 8.304980e+05 
4.520354e-03    6.210169e-03    5.399879e-03   4.000000e+00         1.000000e+01         6.327935e+00        1.133635e+01         5.698000e+03         1.143983e+03        6.795860e-01                                           2.844711e+02    1.686627e+01                       11.4992             0.0455388                 0.0422759                0.142981                 8.756020e+05 
4.520354e-03    6.210169e-03    5.456051e-03   1.000000e+01         1.000000e+02         1.665626e+01        1.133635e+01         5.698000e+03         2.337870e+03        9.388551e-01                                           1.435998e+02    1.198331e+01                       20.6042             0.216184                  0.0777257                0.0206559                2.156650e+05 
6.210169e-03    8.531679e-03    7.399864e-03   4.000000e+00         1.000000e+01         6.465653e+00        1.133635e+01         5.698000e+03         9.277414e+02        4.547830e-01                                           4.435817e+02    2.106138e+01                       56.8122             0.124267                  0.0842149                0.0956152                9.083230e+05 
6.210169e-03    8.531679e-03    7.470576e-03   1.000000e+01         1.000000e+02         1.856880e+01        1.133635e+01         5.698000e+03         1.980490e+03        6.266928e-01                                           3.166542e+02    1.779478e+01                       76.7273             0.275059                  0.080325                 0.00507048               3.320990e+05 
8.531679e-03    1.172102e-02    1.010081e-02   4.000000e+00         1.000000e+01         6.557292e+00        1.133635e+01         5.698000e+03         7.801389e+02        3.008240e-01                                           6.323375e+02    2.514632e+01                       161.982             0.257193                  0.0427883                0.0922169                9.315250e+05 
8.531679e-03    1.172102e-02    1.020398e-02   1.000000e+01         1.000000e+02         2.034637e+01        1.133635e+01         5.698000e+03         1.663293e+03        4.090787e-01                                           6.131650e+02    2.476217e+01                       207.758             0.352043                  0.0628459                0.0153816                4.843640e+05 
1.172102e-02    1.610262e-02    1.385566e-02   4.000000e+00         1.000000e+01         6.627761e+00        1.133635e+01         5.698000e+03         6.594832e+02        2.071309e-01                                           8.180033e+02    2.860076e+01                       292.619             0.360279                  0.0146487                0.0808595                9.482290e+05 
1.172102e-02    1.610262e-02    1.397004e-02   1.000000e+01         1.000000e+02         2.295349e+01        1.133635e+01         5.698000e+03         1.455095e+03        2.797951e-01                                           1.080162e+03    3.286582e+01                       434.44              0.40579                   0.0488499                0.0257855                6.203050e+05 
1.610262e-02    2.212216e-02    1.898971e-02   4.000000e+00         1.000000e+01         6.731625e+00        1.133635e+01         5.698000e+03         5.707653e+02        1.398337e-01                                           9.796808e+02    3.129985e+01                       411.943             0.424117                  0.00913702               0.0613067                9.591830e+05 
