Experiment = FLArE100 | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 3000 cm | Total Events = 29660.8 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 2.00 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
3.290345e-03    4.520354e-03    3.946837e-03   4.000000e+00         1.000000e+01         6.139865e+00        1.133635e+01         5.698000e+03         1.334238e+03        9.510537e-01                                           1.132051e+02    1.063979e+01                       1.05956             0.0149951                 0.0714483                0.148217                 8.308400e+05 
4.520354e-03    6.210169e-03    5.405913e-03   4.000000e+00         1.000000e+01         6.285613e+00        1.133635e+01         5.698000e+03         1.090401e+03        6.507279e-01                                           2.010685e+02    1.417986e+01                       34.1988             0.170853                  0.0400519                0.14056                  8.759310e+05 
6.210169e-03    8.531679e-03    7.402717e-03   4.000000e+00         1.000000e+01         6.422511e+00        1.133635e+01         5.698000e+03         8.922922e+02        4.343279e-01                                           3.189057e+02    1.785793e+01                       84.9844             0.263229                  0.061278                 0.106701                 9.082810e+05 
6.210169e-03    8.531679e-03    7.475976e-03   1.000000e+01         1.000000e+02         1.712917e+01        1.133635e+01         5.698000e+03         1.788895e+03        5.965616e-01                                           1.991640e+02    1.411255e+01                       63.578              0.350879                  0.0741448                0.0227976                3.320140e+05 
8.531679e-03    1.172102e-02    1.011335e-02   4.000000e+00         1.000000e+01         6.533115e+00        1.133635e+01         5.698000e+03         7.492498e+02        2.846872e-01                                           4.528421e+02    2.128009e+01                       171.065             0.374475                  0.0281514                0.0924799                9.314790e+05 
8.531679e-03    1.172102e-02    1.020908e-02   1.000000e+01         1.000000e+02         1.898396e+01        1.133635e+01         5.698000e+03         1.518501e+03        3.871107e-01                                           4.011850e+02    2.002960e+01                       165.373             0.424868                  0.0542574                0.00567658               4.834840e+05 
1.172102e-02    1.610262e-02    1.385561e-02   4.000000e+00         1.000000e+01         6.631391e+00        1.133635e+01         5.698000e+03         6.390524e+02        1.948013e-01                                           5.871960e+02    2.423213e+01                       276.192             0.46715                   0.0175072                0.0840704                9.481040e+05 
1.172102e-02    1.610262e-02    1.397880e-02   1.000000e+01         1.000000e+02         2.163388e+01        1.133635e+01         5.698000e+03         1.336024e+03        2.624659e-01                                           7.172730e+02    2.678195e+01                       340.013             0.47472                   0.0324427                0.0196955                6.216990e+05 
1.610262e-02    2.212216e-02    1.898567e-02   4.000000e+00         1.000000e+01         6.731485e+00        1.133635e+01         5.698000e+03         5.503119e+02        1.293515e-01                                           7.004763e+02    2.646651e+01                       374.272             0.53353                   0.0514615                0.0607107                9.594320e+05 
1.610262e-02    2.212216e-02    1.913786e-02   1.000000e+01         1.000000e+02         2.451182e+01        1.133635e+01         5.698000e+03         1.184366e+03        1.762380e-01                                           1.165995e+03    3.414666e+01                       615.476             0.518749                  0.00388383               0.0302207                7.200150e+05 
2.212216e-02    3.039195e-02    2.606674e-02   4.000000e+00         1.000000e+01         6.796201e+00        1.133635e+01         5.698000e+03         4.952436e+02        8.206237e-02                                           7.579580e+02    2.753104e+01                       451.687             0.597354                  0.106123                 0.0553119                9.668040e+05 
2.212216e-02    3.039195e-02    2.626653e-02   1.000000e+01         1.000000e+02         2.769068e+01        1.133635e+01         5.698000e+03         1.047410e+03        1.130924e-01                                           1.701311e+03    4.124695e+01                       971.707             0.555917                  0.0394492                0.0440043                7.907030e+05 
3.039195e-02    4.175319e-02    3.582463e-02   4.000000e+00         1.000000e+01         6.858362e+00        1.133635e+01         5.698000e+03         4.405636e+02        4.888931e-02                                           7.469033e+02    2.732953e+01                       477.288             0.644141                  0.151574                 0.0348203                9.719270e+05 
3.039195e-02    4.175319e-02    3.605192e-02   1.000000e+01         1.000000e+02         3.109655e+01        1.133635e+01         5.698000e+03         9.452742e+02        6.967802e-02                                           2.201185e+03    4.691679e+01                       1307.76             0.571004                  0.0617113                0.044216                 8.419030e+05 
3.039195e-02    4.175319e-02    3.674557e-02   1.000000e+02         1.000000e+03         1.359625e+02        1.133635e+01         5.698000e+03         2.655164e+03        7.168394e-02                                           1.029975e+02    1.014877e+01                       46.524              0.501746                  0.0661305                0.137684                 1.117540e+05 
4.175319e-02    5.736153e-02    4.904626e-02   4.000000e+00         1.000000e+01         6.881358e+00        1.133635e+01         5.698000e+03         4.073365e+02        2.751781e-02                                           6.757680e+02    2.599554e+01                       453.018             0.674995                  0.173399                 0.00269499               9.756430e+05 
4.175319e-02    5.736153e-02    4.933964e-02   1.000000e+01         1.000000e+02         3.419164e+01        1.133635e+01         5.698000e+03         8.530190e+02        4.056927e-02                                           2.557616e+03    5.057288e+01                       1543.76             0.574522                  0.0768739                0.038189                 8.757780e+05 
