Experiment = FLArE10 | seed 2 | Neutrino = -14 | Exp. Target density (nucleons / cm3) = 10^(23.9) | Exp. Target Length = 700 cm | Total Events = 19089.3 |        del_theta = 15.00 mrad, theta_max = 25.0 mrad |        del_Elepton = 30.0 % , Elepton_min = 2.00 GeV, Elepton_max = 10000.00 GeV|        del_Ehadron = 30.0 %, Ehadron_min = 0.01 GeV GeV, Ehadron_max = 10000.00 GeV
x_lower         x_upper         x_avg          Q2_lower[GeV^2]      Q2_upper[GeV^2]      Q2_avg[GeV^2]       E_nu_lower[GeV]      E_nu_upper[GeV]      E_nu_avg[GeV]       d^sigma/dxdQ2(x_avg,Q2_avg,Enu_avg) pb / GeV^2         N_events        N_events_errs = Sqrt[N_events]     N_sys_errs          fraction_error_theta      fraction_error_Elepton   fraction_error_Ehadron   MC_Samples 
8.531679e-03    1.172102e-02    1.012331e-02   4.000000e+00         1.000000e+01         6.469914e+00        1.133635e+01         5.698000e+03         7.992776e+02        4.674839e-01                                           1.183226e+02    1.087762e+01                       14.5905             0.1358                    0.0654289                0.0903181                9.319620e+05 
1.172102e-02    1.610262e-02    1.388739e-02   4.000000e+00         1.000000e+01         6.539708e+00        1.133635e+01         5.698000e+03         6.912977e+02        3.503153e-01                                           1.617415e+02    1.271776e+01                       37.0072             0.238789                  0.0377731                0.0730779                9.480230e+05 
1.172102e-02    1.610262e-02    1.398937e-02   1.000000e+01         1.000000e+02         2.137966e+01        1.133635e+01         5.698000e+03         1.375901e+03        3.519368e-01                                           1.748743e+02    1.322400e+01                       54.2527             0.331036                  0.0716433                0.00440929               6.209730e+05 
1.610262e-02    2.212216e-02    1.903965e-02   4.000000e+00         1.000000e+01         6.630922e+00        1.133635e+01         5.698000e+03         6.033023e+02        2.592174e-01                                           2.094931e+02    1.447388e+01                       62.1047             0.302719                  0.0371213                0.0575392                9.595480e+05 
1.610262e-02    2.212216e-02    1.917006e-02   1.000000e+01         1.000000e+02         2.406169e+01        1.133635e+01         5.698000e+03         1.228352e+03        2.518504e-01                                           2.948341e+02    1.717073e+01                       112.028             0.385465                  0.0530546                0.0154041                7.197890e+05 
2.212216e-02    3.039195e-02    2.615296e-02   4.000000e+00         1.000000e+01         6.669583e+00        1.133635e+01         5.698000e+03         5.483660e+02        1.906575e-01                                           2.584498e+02    1.607637e+01                       97.7949             0.389756                  0.00627374               0.0592034                9.670070e+05 
2.212216e-02    3.039195e-02    2.631036e-02   1.000000e+01         1.000000e+02         2.694523e+01        1.133635e+01         5.698000e+03         1.089592e+03        1.754778e-01                                           4.581599e+02    2.140467e+01                       198.638             0.427642                  0.0304697                0.030216                 7.911430e+05 
3.039195e-02    4.175319e-02    3.596680e-02   4.000000e+00         1.000000e+01         6.704673e+00        1.133635e+01         5.698000e+03         4.889646e+02        1.365304e-01                                           2.995402e+02    1.730723e+01                       133.977             0.456466                  0.0255025                0.0454621                9.722400e+05 
3.039195e-02    4.175319e-02    3.612351e-02   1.000000e+01         1.000000e+02         2.990834e+01        1.133635e+01         5.698000e+03         9.891074e+02        1.211436e-01                                           6.504218e+02    2.550337e+01                       305.445             0.462131                  0.0187718                0.0314614                8.420350e+05 
4.175319e-02    5.736153e-02    4.932382e-02   4.000000e+00         1.000000e+01         6.715370e+00        1.133635e+01         5.698000e+03         4.551384e+02        9.724769e-02                                           3.360536e+02    1.833177e+01                       172.426             0.517204                  0.052006                 0.0341816                9.755710e+05 
