# x y Q2 xsec_nu xsec_nub
1.000000e-04 0.000000e+00 1.000000e+00 8.936596e-01 8.963556e-01
1.000000e-04 0.000000e+00 4.641589e+00 2.030310e+00 2.035964e+00
1.000000e-04 0.000000e+00 2.154435e+01 3.758158e+00 3.764782e+00
1.000000e-04 0.000000e+00 1.000000e+02 5.803576e+00 5.811140e+00
1.000000e-04 0.000000e+00 4.641589e+02 8.029955e+00 8.038364e+00
1.000000e-04 0.000000e+00 2.154435e+03 1.035441e+01 1.036363e+01
1.000000e-04 0.000000e+00 1.000000e+04 1.272884e+01 1.273879e+01
1.000000e-04 0.000000e+00 4.641589e+04 1.511990e+01 1.513054e+01
1.000000e-04 0.000000e+00 2.154435e+05 1.750470e+01 1.751598e+01
1.000000e-04 0.000000e+00 1.000000e+06 1.986794e+01 1.987985e+01
1.000000e-04 1.111111e-01 1.000000e+00 8.060705e-01 8.073012e-01
1.000000e-04 1.111111e-01 4.641589e+00 1.839823e+00 1.842351e+00
1.000000e-04 1.111111e-01 2.154435e+01 3.392552e+00 3.395467e+00
1.000000e-04 1.111111e-01 1.000000e+02 5.233403e+00 5.236750e+00
1.000000e-04 1.111111e-01 4.641589e+02 7.224280e+00 7.228030e+00
1.000000e-04 1.111111e-01 2.154435e+03 9.303366e+00 9.307523e+00
1.000000e-04 1.111111e-01 1.000000e+04 1.142752e+01 1.143205e+01
1.000000e-04 1.111111e-01 4.641589e+04 1.356683e+01 1.357171e+01
1.000000e-04 1.111111e-01 2.154435e+05 1.570072e+01 1.570595e+01
1.000000e-04 1.111111e-01 1.000000e+06 1.781549e+01 1.782104e+01
1.000000e-04 2.222222e-01 1.000000e+00 7.242320e-01 7.241632e-01
1.000000e-04 2.222222e-01 4.641589e+00 1.667700e+00 1.667458e+00
1.000000e-04 2.222222e-01 2.154435e+01 3.060913e+00 3.060547e+00
1.000000e-04 2.222222e-01 1.000000e+02 4.716350e+00 4.715970e+00
1.000000e-04 2.222222e-01 4.641589e+02 6.495680e+00 6.495314e+00
1.000000e-04 2.222222e-01 2.154435e+03 8.355516e+00 8.355207e+00
1.000000e-04 2.222222e-01 1.000000e+04 1.025687e+01 1.025661e+01
1.000000e-04 2.222222e-01 4.641589e+04 1.217264e+01 1.217244e+01
1.000000e-04 2.222222e-01 2.154435e+05 1.408420e+01 1.408407e+01
1.000000e-04 2.222222e-01 1.000000e+06 1.597908e+01 1.597901e+01
1.000000e-04 3.333333e-01 1.000000e+00 6.481440e-01 6.469414e-01
1.000000e-04 3.333333e-01 4.641589e+00 1.513941e+00 1.511285e+00
1.000000e-04 3.333333e-01 2.154435e+01 2.763242e+00 2.760025e+00
1.000000e-04 3.333333e-01 1.000000e+02 4.252417e+00 4.248800e+00
1.000000e-04 3.333333e-01 4.641589e+02 5.844156e+00 5.840216e+00
1.000000e-04 3.333333e-01 2.154435e+03 7.510865e+00 7.506680e+00
1.000000e-04 3.333333e-01 1.000000e+04 9.216884e+00 9.212474e+00
1.000000e-04 3.333333e-01 4.641589e+04 1.093735e+01 1.093274e+01
1.000000e-04 3.333333e-01 2.154435e+05 1.265512e+01 1.265034e+01
1.000000e-04 3.333333e-01 1.000000e+06 1.435870e+01 1.435377e+01
1.000000e-04 4.444444e-01 1.000000e+00 5.778065e-01 5.756360e-01
1.000000e-04 4.444444e-01 4.641589e+00 1.378545e+00 1.373831e+00
1.000000e-04 4.444444e-01 2.154435e+01 2.499538e+00 2.493898e+00
1.000000e-04 4.444444e-01 1.000000e+02 3.841604e+00 3.835241e+00
1.000000e-04 4.444444e-01 4.641589e+02 5.269707e+00 5.262735e+00
1.000000e-04 4.444444e-01 2.154435e+03 6.769413e+00 6.761940e+00
1.000000e-04 4.444444e-01 1.000000e+04 8.307573e+00 8.299642e+00
1.000000e-04 4.444444e-01 4.641589e+04 9.860956e+00 9.852612e+00
1.000000e-04 4.444444e-01 2.154435e+05 1.141349e+01 1.140477e+01
1.000000e-04 4.444444e-01 1.000000e+06 1.295435e+01 1.294530e+01
1.000000e-04 5.555556e-01 1.000000e+00 5.132195e-01 5.102469e-01
1.000000e-04 5.555556e-01 4.641589e+00 1.261514e+00 1.255098e+00
1.000000e-04 5.555556e-01 2.154435e+01 2.269802e+00 2.262168e+00
1.000000e-04 5.555556e-01 1.000000e+02 3.483912e+00 3.475292e+00
1.000000e-04 5.555556e-01 4.641589e+02 4.772333e+00 4.762873e+00
1.000000e-04 5.555556e-01 2.154435e+03 6.131160e+00 6.120990e+00
1.000000e-04 5.555556e-01 1.000000e+04 7.528933e+00 7.518113e+00
1.000000e-04 5.555556e-01 4.641589e+04 8.943455e+00 8.932046e+00
1.000000e-04 5.555556e-01 2.154435e+05 1.035931e+01 1.034736e+01
1.000000e-04 5.555556e-01 1.000000e+06 1.176604e+01 1.175360e+01
1.000000e-04 6.666667e-01 1.000000e+00 4.543831e-01 4.507741e-01
1.000000e-04 6.666667e-01 4.641589e+00 1.162846e+00 1.155084e+00
1.000000e-04 6.666667e-01 2.154435e+01 2.074033e+00 2.064835e+00
1.000000e-04 6.666667e-01 1.000000e+02 3.179339e+00 3.168954e+00
1.000000e-04 6.666667e-01 4.641589e+02 4.352035e+00 4.340630e+00
1.000000e-04 6.666667e-01 2.154435e+03 5.596105e+00 5.583828e+00
1.000000e-04 6.666667e-01 1.000000e+04 6.880962e+00 6.867887e+00
