# x y Q2 xsec_nu xsec_nub
1.000000e-04 0.000000e+00 1.000000e+00 7.646752e+01 7.648378e+01
1.000000e-04 0.000000e+00 4.641589e+00 1.675422e+02 1.677358e+02
1.000000e-04 0.000000e+00 2.154435e+01 3.098517e+02 3.100482e+02
1.000000e-04 0.000000e+00 1.000000e+02 4.712494e+02 4.714435e+02
1.000000e-04 0.000000e+00 4.641589e+02 5.876611e+02 5.878371e+02
1.000000e-04 0.000000e+00 2.154435e+03 4.907031e+02 4.908176e+02
1.000000e-04 0.000000e+00 1.000000e+04 1.654835e+02 1.655150e+02
1.000000e-04 0.000000e+00 4.641589e+04 1.906693e+01 1.907000e+01
1.000000e-04 0.000000e+00 2.154435e+05 1.253968e+00 1.254142e+00
1.000000e-04 0.000000e+00 1.000000e+06 6.920358e-02 6.921205e-02
1.000000e-04 1.111111e-01 1.000000e+00 6.902846e+01 6.894320e+01
1.000000e-04 1.111111e-01 4.641589e+00 1.519765e+02 1.519363e+02
1.000000e-04 1.111111e-01 2.154435e+01 2.798562e+02 2.797797e+02
1.000000e-04 1.111111e-01 1.000000e+02 4.250981e+02 4.249921e+02
1.000000e-04 1.111111e-01 4.641589e+02 5.288413e+02 5.287217e+02
1.000000e-04 1.111111e-01 2.154435e+03 4.409947e+02 4.409033e+02
1.000000e-04 1.111111e-01 1.000000e+04 1.485959e+02 1.485674e+02
1.000000e-04 1.111111e-01 4.641589e+04 1.711163e+01 1.710853e+01
1.000000e-04 1.111111e-01 2.154435e+05 1.124933e+00 1.124740e+00
1.000000e-04 1.111111e-01 1.000000e+06 6.206452e-02 6.205436e-02
1.000000e-04 2.222222e-01 1.000000e+00 6.207101e+01 6.189666e+01
1.000000e-04 2.222222e-01 4.641589e+00 1.379206e+02 1.376735e+02
1.000000e-04 2.222222e-01 2.154435e+01 2.525951e+02 2.522774e+02
1.000000e-04 2.222222e-01 1.000000e+02 3.831752e+02 3.828041e+02
1.000000e-04 2.222222e-01 4.641589e+02 4.756009e+02 4.752205e+02
1.000000e-04 2.222222e-01 2.154435e+03 3.961514e+02 3.958783e+02
1.000000e-04 2.222222e-01 1.000000e+04 1.334042e+02 1.333225e+02
1.000000e-04 2.222222e-01 4.641589e+04 1.535678e+01 1.534824e+01
1.000000e-04 2.222222e-01 2.154435e+05 1.009349e+00 1.008832e+00
1.000000e-04 2.222222e-01 1.000000e+06 5.567985e-02 5.565323e-02
1.000000e-04 3.333333e-01 1.000000e+00 5.559519e+01 5.534413e+01
1.000000e-04 3.333333e-01 4.641589e+00 1.253747e+02 1.249476e+02
1.000000e-04 3.333333e-01 2.154435e+01 2.280684e+02 2.275414e+02
1.000000e-04 3.333333e-01 1.000000e+02 3.454807e+02 3.448798e+02
1.000000e-04 3.333333e-01 4.641589e+02 4.279401e+02 4.273336e+02
1.000000e-04 3.333333e-01 2.154435e+03 3.561731e+02 3.557426e+02
1.000000e-04 3.333333e-01 1.000000e+04 1.199082e+02 1.197805e+02
1.000000e-04 3.333333e-01 4.641589e+04 1.380236e+01 1.378912e+01
1.000000e-04 3.333333e-01 2.154435e+05 9.072152e-01 9.064171e-01
1.000000e-04 3.333333e-01 1.000000e+06 5.004957e-02 5.000868e-02
