# x y Q2 xsec_nu xsec_nub
1.000000e-04 0.000000e+00 1.000000e+00 1.694323e+01 1.700803e+01
1.000000e-04 0.000000e+00 4.641589e+00 5.826306e+01 5.837901e+01
1.000000e-04 0.000000e+00 2.154435e+01 1.285273e+02 1.286390e+02
1.000000e-04 0.000000e+00 1.000000e+02 2.098430e+02 2.099476e+02
1.000000e-04 0.000000e+00 4.641589e+02 2.708825e+02 2.709728e+02
1.000000e-04 0.000000e+00 2.154435e+03 2.306078e+02 2.306638e+02
1.000000e-04 0.000000e+00 1.000000e+04 7.871779e+01 7.873252e+01
1.000000e-04 0.000000e+00 4.641589e+04 9.143164e+00 9.144522e+00
1.000000e-04 0.000000e+00 2.154435e+05 6.048603e-01 6.049339e-01
1.000000e-04 0.000000e+00 1.000000e+06 3.352747e-02 3.353087e-02
1.000000e-04 1.111111e-01 1.000000e+00 1.576191e+01 1.582154e+01
1.000000e-04 1.111111e-01 4.641589e+00 5.414794e+01 5.425843e+01
1.000000e-04 1.111111e-01 2.154435e+01 1.176678e+02 1.177757e+02
1.000000e-04 1.111111e-01 1.000000e+02 1.913176e+02 1.914188e+02
1.000000e-04 1.111111e-01 4.641589e+02 2.455270e+02 2.456140e+02
1.000000e-04 1.111111e-01 2.154435e+03 2.083562e+02 2.084100e+02
1.000000e-04 1.111111e-01 1.000000e+04 7.098296e+01 7.099709e+01
1.000000e-04 1.111111e-01 4.641589e+04 8.234052e+00 8.235352e+00
1.000000e-04 1.111111e-01 2.154435e+05 5.442166e-01 5.442869e-01
1.000000e-04 1.111111e-01 1.000000e+06 3.014548e-02 3.014872e-02
1.000000e-04 2.222222e-01 1.000000e+00 1.456511e+01 1.461963e+01
1.000000e-04 2.222222e-01 4.641589e+00 5.032113e+01 5.042631e+01
1.000000e-04 2.222222e-01 2.154435e+01 1.077127e+02 1.078170e+02
1.000000e-04 2.222222e-01 1.000000e+02 1.743902e+02 1.744884e+02
1.000000e-04 2.222222e-01 4.641589e+02 2.224983e+02 2.225824e+02
1.000000e-04 2.222222e-01 2.154435e+03 1.882387e+02 1.882907e+02
1.000000e-04 2.222222e-01 1.000000e+04 6.401449e+01 6.402810e+01
1.000000e-04 2.222222e-01 4.641589e+04 7.417303e+00 7.418552e+00
1.000000e-04 2.222222e-01 2.154435e+05 4.898532e-01 4.899205e-01
1.000000e-04 2.222222e-01 1.000000e+06 2.711909e-02 2.712220e-02
1.000000e-04 3.333333e-01 1.000000e+00 1.335282e+01 1.340228e+01
1.000000e-04 3.333333e-01 4.641589e+00 4.678264e+01 4.688264e+01
1.000000e-04 3.333333e-01 2.154435e+01 9.866201e+01 9.876298e+01
1.000000e-04 3.333333e-01 1.000000e+02 1.590608e+02 1.591563e+02
1.000000e-04 3.333333e-01 4.641589e+02 2.017965e+02 2.018780e+02
1.000000e-04 3.333333e-01 2.154435e+03 1.702554e+02 1.703057e+02
1.000000e-04 3.333333e-01 1.000000e+04 5.781241e+01 5.782555e+01
1.000000e-04 3.333333e-01 4.641589e+04 6.692919e+00 6.694123e+00
1.000000e-04 3.333333e-01 2.154435e+05 4.417700e-01 4.418347e-01
1.000000e-04 3.333333e-01 1.000000e+06 2.444831e-02 2.445129e-02
1.000000e-04 4.444444e-01 1.000000e+00 1.212505e+01 1.216951e+01
1.000000e-04 4.444444e-01 4.641589e+00 4.353247e+01 4.362743e+01
1.000000e-04 4.444444e-01 2.154435e+01 9.051566e+01 9.061359e+01
1.000000e-04 4.444444e-01 1.000000e+02 1.453294e+02 1.454225e+02
1.000000e-04 4.444444e-01 4.641589e+02 1.834216e+02 1.835008e+02
1.000000e-04 4.444444e-01 2.154435e+03 1.544062e+02 1.544551e+02
1.000000e-04 4.444444e-01 1.000000e+04 5.237669e+01 5.238944e+01
1.000000e-04 4.444444e-01 4.641589e+04 6.060898e+00 6.062064e+00
1.000000e-04 4.444444e-01 2.154435e+05 3.999670e-01 4.000295e-01
1.000000e-04 4.444444e-01 1.000000e+06 2.213314e-02 2.213601e-02
1.000000e-04 5.555556e-01 1.000000e+00 1.088180e+01 1.092130e+01
1.000000e-04 5.555556e-01 4.641589e+00 4.057062e+01 4.066066e+01
1.000000e-04 5.555556e-01 2.154435e+01 8.327366e+01 8.336885e+01
1.000000e-04 5.555556e-01 1.000000e+02 1.331960e+02 1.332870e+02
1.000000e-04 5.555556e-01 4.641589e+02 1.673735e+02 1.674509e+02
1.000000e-04 5.555556e-01 2.154435e+03 1.406912e+02 1.407389e+02
1.000000e-04 5.555556e-01 1.000000e+04 4.770735e+01 4.771976e+01
1.000000e-04 5.555556e-01 4.641589e+04 5.521242e+00 5.522375e+00
1.000000e-04 5.555556e-01 2.154435e+05 3.644442e-01 3.645049e-01
1.000000e-04 5.555556e-01 1.000000e+06 2.017357e-02 2.017636e-02
1.000000e-04 6.666667e-01 1.000000e+00 9.623075e+00 9.657662e+00
1.000000e-04 6.666667e-01 4.641589e+00 3.789708e+01 3.798235e+01
1.000000e-04 6.666667e-01 2.154435e+01 7.693604e+01 7.702874e+01
1.000000e-04 6.666667e-01 1.000000e+02 1.226605e+02 1.227499e+02
1.000000e-04 6.666667e-01 4.641589e+02 1.536523e+02 1.537281e+02
1.000000e-04 6.666667e-01 2.154435e+03 1.291103e+02 1.291571e+02
1.000000e-04 6.666667e-01 1.000000e+04 4.380437e+01 4.381653e+01
1.000000e-04 6.666667e-01 4.641589e+04 5.073949e+00 5.075057e+00
1.000000e-04 6.666667e-01 2.154435e+05 3.352016e-01 3.352608e-01
1.000000e-04 6.666667e-01 1.000000e+06 1.856960e-02 1.857232e-02
1.000000e-04 7.777778e-01 1.000000e+00 8.348863e+00 8.378594e+00
1.000000e-04 7.777778e-01 4.641589e+00 3.551186e+01 3.559250e+01
1.000000e-04 7.777778e-01 2.154435e+01 7.150277e+01 7.159328e+01
1.000000e-04 7.777778e-01 1.000000e+02 1.137231e+02 1.138111e+02
1.000000e-04 7.777778e-01 4.641589e+02 1.422579e+02 1.423325e+02
1.000000e-04 7.777778e-01 2.154435e+03 1.196637e+02 1.197097e+02
1.000000e-04 7.777778e-01 1.000000e+04 4.066778e+01 4.067973e+01
1.000000e-04 7.777778e-01 4.641589e+04 4.719020e+00 4.720110e+00
1.000000e-04 7.777778e-01 2.154435e+05 3.122392e-01 3.122974e-01
1.000000e-04 7.777778e-01 1.000000e+06 1.732124e-02 1.732391e-02
1.000000e-04 8.888889e-01 1.000000e+00 7.059170e+00 7.084095e+00
1.000000e-04 8.888889e-01 4.641589e+00 3.341496e+01 3.349110e+01
1.000000e-04 8.888889e-01 2.154435e+01 6.697387e+01 6.706247e+01
1.000000e-04 8.888889e-01 1.000000e+02 1.063836e+02 1.064706e+02
1.000000e-04 8.888889e-01 4.641589e+02 1.331904e+02 1.332642e+02
1.000000e-04 8.888889e-01 2.154435e+03 1.123511e+02 1.123966e+02
1.000000e-04 8.888889e-01 1.000000e+04 3.829755e+01 3.830937e+01
1.000000e-04 8.888889e-01 4.641589e+04 4.456456e+00 4.457533e+00
1.000000e-04 8.888889e-01 2.154435e+05 2.955570e-01 2.956145e-01
1.000000e-04 8.888889e-01 1.000000e+06 1.642849e-02 1.643113e-02
1.000000e-04 1.000000e+00 1.000000e+00 5.753995e+00 5.774166e+00
1.000000e-04 1.000000e+00 4.641589e+00 3.160637e+01 3.167815e+01
1.000000e-04 1.000000e+00 2.154435e+01 6.334934e+01 6.343629e+01
1.000000e-04 1.000000e+00 1.000000e+02 1.006421e+02 1.007284e+02
1.000000e-04 1.000000e+00 4.641589e+02 1.264498e+02 1.265230e+02
1.000000e-04 1.000000e+00 2.154435e+03 1.071728e+02 1.072180e+02
1.000000e-04 1.000000e+00 1.000000e+04 3.669370e+01 3.670544e+01
1.000000e-04 1.000000e+00 4.641589e+04 4.286255e+00 4.287326e+00
1.000000e-04 1.000000e+00 2.154435e+05 2.851551e-01 2.852123e-01
1.000000e-04 1.000000e+00 1.000000e+06 1.589134e-02 1.589396e-02
2.782559e-04 0.000000e+00 1.000000e+00 6.399756e+00 6.410205e+00
2.782559e-04 0.000000e+00 4.641589e+00 1.740918e+01 1.744127e+01
2.782559e-04 0.000000e+00 2.154435e+01 3.646522e+01 3.649681e+01
2.782559e-04 0.000000e+00 1.000000e+02 5.709867e+01 5.712611e+01
2.782559e-04 0.000000e+00 4.641589e+02 7.109343e+01 7.111478e+01
2.782559e-04 0.000000e+00 2.154435e+03 5.873925e+01 5.875092e+01
2.782559e-04 0.000000e+00 1.000000e+04 1.954771e+01 1.955037e+01
2.782559e-04 0.000000e+00 4.641589e+04 2.221095e+00 2.221298e+00
2.782559e-04 0.000000e+00 2.154435e+05 1.441206e-01 1.441295e-01
2.782559e-04 0.000000e+00 1.000000e+06 7.852411e-03 7.852717e-03
2.782559e-04 1.111111e-01 1.000000e+00 5.892894e+00 5.902427e+00
2.782559e-04 1.111111e-01 4.641589e+00 1.619992e+01 1.623044e+01
2.782559e-04 1.111111e-01 2.154435e+01 3.349373e+01 3.352417e+01
2.782559e-04 1.111111e-01 1.000000e+02 5.222073e+01 5.224717e+01
2.782559e-04 1.111111e-01 4.641589e+02 6.461758e+01 6.463800e+01
2.782559e-04 1.111111e-01 2.154435e+03 5.320317e+01 5.321423e+01
2.782559e-04 1.111111e-01 1.000000e+04 1.766657e+01 1.766906e+01
2.782559e-04 1.111111e-01 4.641589e+04 2.004368e+00 2.004555e+00
2.782559e-04 1.111111e-01 2.154435e+05 1.299177e-01 1.299256e-01
2.782559e-04 1.111111e-01 1.000000e+06 7.072833e-03 7.073096e-03
2.782559e-04 2.222222e-01 1.000000e+00 5.386814e+00 5.395443e+00
2.782559e-04 2.222222e-01 4.641589e+00 1.506536e+01 1.509435e+01
2.782559e-04 2.222222e-01 2.154435e+01 3.075784e+01 3.078722e+01
2.782559e-04 2.222222e-01 1.000000e+02 4.775563e+01 4.778118e+01
2.782559e-04 2.222222e-01 4.641589e+02 5.873381e+01 5.875340e+01
2.782559e-04 2.222222e-01 2.154435e+03 4.819926e+01 4.820978e+01
2.782559e-04 2.222222e-01 1.000000e+04 1.597271e+01 1.597505e+01
2.782559e-04 2.222222e-01 4.641589e+04 1.809787e+00 1.809961e+00
2.782559e-04 2.222222e-01 2.154435e+05 1.171947e-01 1.172018e-01
2.782559e-04 2.222222e-01 1.000000e+06 6.375732e-03 6.375957e-03
2.782559e-04 3.333333e-01 1.000000e+00 4.881517e+00 4.889251e+00
2.782559e-04 3.333333e-01 4.641589e+00 1.400550e+01 1.403299e+01
2.782559e-04 3.333333e-01 2.154435e+01 2.825756e+01 2.828596e+01
2.782559e-04 3.333333e-01 1.000000e+02 4.370335e+01 4.372811e+01
2.782559e-04 3.333333e-01 4.641589e+02 5.344210e+01 5.346096e+01
