* FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 139
   Reaction = 'CC nup'

   NData = 145
   NColumn = 7
   ColumnType = 'Flag',2*'Bin','Sigma',3*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 3*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat           uncor          syst:C
  0         0.00012               7               0               0               0               0
  0         0.00012              55               0               0               0               0
  0         0.00012             550               0               0               0               0
  0         0.00012            5500               0               0               0               0
  0         0.00012           55000               0               0               0               0
  0        0.000165               7               0               0               0               0
  0        0.000165              55               0               0               0               0
  0        0.000165             550               0               0               0               0
  0        0.000165            5500               0               0               0               0
  0        0.000165           55000               0               0               0               0
  0        0.000225               7               0               0               0               0
  0        0.000225              55               0               0               0               0
  0        0.000225             550               0               0               0               0
  0        0.000225            5500               0               0               0               0
  0        0.000225           55000               0               0               0               0
  0         0.00031               7               0               0               0               0
  0         0.00031              55               0               0               0               0
  0         0.00031             550               0               0               0               0
  0         0.00031            5500               0               0               0               0
  0         0.00031           55000               0               0               0               0
  0        0.000425               7         34.4563         9534.63         9.09091         9.09091
  0        0.000425              55               0               0               0               0
  0        0.000425             550               0               0               0               0
  0        0.000425            5500               0               0               0               0
  0        0.000425           55000               0               0               0               0
  0         0.00058               7         27.9819         1502.44         11.9639         11.9639
  0         0.00058              55               0               0               0               0
  0         0.00058             550               0               0               0               0
  0         0.00058            5500               0               0               0               0
  0         0.00058           55000               0               0               0               0
  0        0.000795               7         16.1478         550.816         10.6493         10.6493
  0        0.000795              55               0               0               0               0
  0        0.000795             550               0               0               0               0
  0        0.000795            5500               0               0               0               0
  0        0.000795           55000               0               0               0               0
  0        0.001095               7         14.8544         234.823         12.1423         12.1423
  0        0.001095              55         14.0069         4385.29         9.61538         9.61538
  0        0.001095             550               0               0               0               0
  0        0.001095            5500               0               0               0               0
  0        0.001095           55000               0               0               0               0
  0        0.001505               7         11.9938         126.477         13.7793         13.7793
  0        0.001505              55         11.5466         783.982         11.1862         11.1862
  0        0.001505             550               0               0               0               0
  0        0.001505            5500               0               0               0               0
  0        0.001505           55000               0               0               0               0
  0         0.00207               7         6.84336         87.4817         14.9418         14.9418
  0         0.00207              55         6.66962         308.167         9.64862         9.64862
  0         0.00207             550               0               0               0               0
  0         0.00207            5500               0               0               0               0
  0         0.00207           55000               0               0               0               0
  0        0.002845               7         5.30883          58.513         17.1075         17.1075
  0        0.002845              55          5.8688          134.42         12.1043         12.1043
