* FASER$\nu$2 $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 $\bar{\nu}_{\mu}$'
   IndexDataset = 141
   Reaction = 'CC nup'

   NData = 60
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_NUB/nub_A_1-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat
  0            0.0004653642                4.499471                      -0        415291.443393737
  0            0.0006023158                4.804296                      -0        5035.00761806737
  0             0.000805487                5.295361                       0        700.788074425814
  0             0.001103386                6.165672                      -0         245.04059036159
  0             0.001199512                10.83793                       0        61752.4885112634
  0             0.001502325                6.605884                       0        106.073759911571
  0             0.001550446                11.82182                       0        1853.44587710144
  0             0.002056204                6.711767                       0        59.6910576753148
  0             0.002088313                13.65257                       0         370.53794048061
  1             0.002832968                 6.92208       0.481604740019727        39.0777442178628
  0             0.002868817                15.88118                       0        122.703326676527
  1             0.003867511                6.969445       0.379518958439835        24.8722041170837
  0             0.003910165                19.23522                       0        50.1443548962988
  1             0.005332159                6.923533         0.2957080938017        19.6325104029034
  1             0.005376057                23.72244       0.292431654816245        29.4939064171821
  1              0.00728382                6.864471        0.17962109112415           17.8194763169
  1             0.007357012                29.85817       0.210527602705338        17.8284649201852
  1              0.01004141                7.016726       0.163449964229705        13.8267065055701
  1              0.01009387                38.41355       0.158199435850896        11.1444993490685
  0              0.01106434                 105.237                      -0        66241.7648767551
  1              0.01373133                7.059776      0.0886455645800874        12.6480782336323
  1              0.01382972                44.86927       0.121645172097719         8.8473342971626
  0              0.01436363                116.4126                      -0        810.683436854499
  1              0.01893405                7.091961       0.067355388987766        13.8134059785785
  1              0.01897474                48.42158      0.0841311486119329        7.58886262747727
  0              0.01947225                 131.994                       0        170.043048111643
  1              0.02594167                7.205886      0.0438889786563806        11.3187638187427
  1              0.02598053                51.29325       0.059462943371056        5.65501770050175
  1              0.02639133                153.4399      0.0502293996281874        49.0172744039158
  1              0.03557055                7.374244       0.032695794392092        13.3178770794154
  1              0.03566166                52.28651      0.0411894116445707        4.66963206344167
  1              0.03618693                 184.134      0.0281539032380118        22.7266679510336
  0              0.04820685                7.673717                       0        16.3575464854901
  1              0.04897279                53.87375      0.0264534850848366        5.06007947097189
  1              0.04957802                226.6382      0.0199721307906943        15.0861757006555
  1              0.06715395                55.26338      0.0155710360605742         4.3543223214174
  1              0.06803198                287.6338      0.0135178140795417          8.983364349318
  1              0.09212532                57.00281     0.00834192111902638        4.01046671923938
  1              0.09330445                 365.947     0.00635317210402762        6.22670200589952
  0               0.1052238                1035.315                       0         75062.823838576
  1               0.1267209                60.59327     0.00380823212160258        5.36976500837206
  1               0.1276447                444.8369     0.00307035486365319        6.58789789456141
  0                0.134926                1128.952                      -0        1319.25712483614
  1               0.1740196                61.60985     0.00176662969155147        5.76479928642262
  1               0.1747921                487.6005     0.00143975194240907        5.75435289879235
  0               0.1799304                1270.491                       0        200.023165374367
  1               0.2384199                64.61185    0.000611982349910989         6.1504869849227
  1               0.2398246                514.0246    0.000450580522527517        4.57886713478193
  0               0.2446001                1462.042                       0        60.5296595265731
  1               0.3266705                65.29731    0.000141278954785386        7.85366762311968
  1               0.3286942                533.5003    0.000109258635458647        5.40238570340776
  1               0.3339514                1750.704    8.36567800713701e-05        41.5755301646697
  1               0.4455657                66.63131    2.66811122074278e-05        11.6234114169649
  1               0.4516526                 539.366    1.46002652628071e-05        7.52501872900949
  1               0.4566834                2135.987    4.97196942495173e-06        35.4070249954242
  1                0.618063                549.8954     7.5724645590173e-07        6.80610203849072
  1               0.6238343                2648.665    2.76505487866723e-07        21.4515582024497
  1                0.847498                558.2213    4.21549739297189e-09        8.15492206546793
  0               0.8514353                3251.184   -8.86930880584673e-10        19.1439506468747
  0               0.9977282                 10167.7                       0                       0
