* FASER$\nu$ charm $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ charm $\bar{\nu}_{\mu}$'
   IndexDataset = 146
   Reaction = 'CC nup'

   NData = 57
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv_charm_nub-a1/nub_A_1-FASERv_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const
  0            0.0006522737                4.150569       -5.02532915569849          5574.669939689                 41.6667
  1            0.0008183728                4.820344        1.37751552045546        2052.73514778997                 3.38164
  1             0.001129216                5.197947        3.17599563506611        882.685768958672                 6.42303
  1             0.001041377                10.06477        149.972531919933        15629.4701778874                     100
  0             0.001529372                 5.58271       -1.11787429204097        472.755717914362                 11.1977
  0             0.001564239                10.77503       -13.9828869730945        2813.20247616666                 5.55556
  0             0.002077061                 5.86883      -0.796926136730634        337.573126721228                 9.24242
  1             0.002118806                11.95148       0.102123569474119         1089.3792765921                 25.0916
  1             0.002882347                6.151122         1.2743500999366        226.980341485355                 2.15754
  1             0.002926389                13.38757        2.73269470789204        492.541357921663                 7.53841
  0             0.003929124                6.291456      -0.263506223687207        161.154758030775                 6.49502
  1             0.003988637                14.59875        1.62789136793322        264.659537523264                 1.46927
  1             0.005313292                 6.42469      0.0301654049576629        137.791509236933                 4.27691
  1             0.005379126                16.24698        0.69583525400795        180.090876510757                 11.7492
  1             0.007425986                6.501554       0.163827542338855        117.734793021078                 7.44258
  1             0.007484511                18.62546       0.296179033481464         123.16105189103                 14.5038
  1              0.01012414                6.648033       0.213021611376444        93.1075346651814                 12.1915
  1              0.01022564                21.30851       0.229332181327666        80.9719816366752                 5.96223
  0              0.01125713                106.0815       -1.59739799645672         9528.1590276479                 11.1111
  1              0.01375452                6.723936      0.0834903645008946        86.4137082333333                 9.61395
  1              0.01387831                24.69363      0.0912291235396324         64.548496098063                 1.74183
  1              0.01464322                111.1316       0.298354533872679        1470.19521570648                 12.1447
  1              0.01910219                6.809525       0.103557708268103        91.1694641666764                 7.94423
  1              0.01928054                28.42443      0.0404056693253031        57.5211052308547                 16.6455
  1                0.019894                118.9161       0.338802301767655        499.027915885027                 9.29204
  1              0.02595033                7.323737      0.0222124942983711        86.3932778076744                   14.26
  1               0.0263677                32.20735      0.0685545288836792        42.6442344849785                 9.79927
