* FASER$\nu$2 inclusive $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 inclusive $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 141
   Reaction = 'CC nup'

   NData = 42
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_inclusive_nochargediscrimination-a1/nu_A_1-FASERv2_inclusive-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_inclusive_nochargediscrimination-a1/nub_A_1-FASERv2_inclusive-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.002865641                6.075666        4.09993077240773        7.03204884443471                 0.85834                2.467905                 4.12807
  1             0.003935987                6.258025        3.01571583457064        5.21254937250692                 1.17555                 0.91652                4.118985
  1             0.003954047                14.46167         3.3837583945367        8.45165304250681                0.676695                3.489655                 1.43036
  1             0.005394919                6.374309        2.33467843831906        4.08282765073503                1.230115                0.942415                4.520085
  1             0.005447586                15.80926         2.2001385017418        5.37267743221403               0.3860155                2.500885                 0.91699
  1             0.007393432                6.482877        1.51956285188075        3.34176396719245               0.4260475                 2.89501                1.999835
  1             0.007461809                17.81421        1.56001014064052        3.66875679045713                0.315713                2.958345                1.165755
  1              0.01011717                6.570376        1.14066352033726         2.8290167341748               0.4973595                1.478765                2.070045
  1              0.01020017                20.09135        1.22095145751701        2.63454091778269                0.108745                2.820235                 0.91422
  1              0.01387925                6.643154       0.862982739509049        2.46528546345306                0.720255                1.097995                 2.00178
  1              0.01398688                23.25518       0.773400665941779        1.99011288358914               0.1377425                 2.96667                 1.09207
  1              0.01901717                6.731313       0.633880762295851         2.2038050750199                0.258654                 1.44903                2.450085
  1                0.019165                26.41067       0.571583968813748        1.54607592806573              0.03660085                2.823955                1.032435
  1              0.02588472                7.260706       0.463346576579712        2.22197042744385               0.1285415                  1.3733                  5.2404
  1              0.02630763                29.62238       0.406443937618011        1.24028213650781               0.0532965                2.037395                 0.96607
  1              0.02686504                127.8245       0.350364331280707        6.12578765509188               0.1114225                 0.64915                 3.72551
  1              0.03530689                 8.25006       0.342494387092566        2.65454322525727               0.0944065                1.884865                  7.9809
  1              0.03613667                32.59279       0.286644220072295        1.03072078273148                0.087987                1.737825                 1.24376
  1              0.03675968                137.1476       0.223417155764061        3.56172441702039                0.071187                1.769855                 2.89923
  1              0.04547674                9.261471       0.240154165555342        5.03280886763941                0.247728                2.740675                12.20295
  1              0.04950927                35.20769       0.193577396262211       0.887080477498249              0.02165165                1.314365                 1.91443
  1              0.05015155                149.6599       0.150868835537715        2.27595330779611               0.0314575                1.070955                1.237965
  1              0.06761975                39.93182       0.137170464620674       0.809965045975564              0.03898995                 0.65826                2.411625
  1              0.06860058                 164.961      0.0983542117252239         1.5692613241791               0.0732245                0.529355                 0.62425
  1              0.09268591                45.99114       0.092875448931986       0.771365279928885               0.0275586                1.271365                  2.8491
  1              0.09375902                182.3917      0.0650453626195568        1.14291252781657              0.01937005                 1.27983                 0.87427
  1               0.1271235                52.43653       0.063324364629018       0.761547178696657               0.0155004                 3.54071                 3.68597
  1               0.1285739                201.4747      0.0431356730709163       0.881592650739123                0.019991                2.915485                1.520045
  1                0.174497                59.96484      0.0368038030505159       0.793360490746883              0.01668985                 5.80535                 4.56263
