* FASER$\nu$2_optimistic $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 optimistic $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 145
   Reaction = 'CC nup'

   NData = 145
   NColumn = 7
   ColumnType = 'Flag',2*'Bin','Sigma',3*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 3*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat           uncor          syst:C
  0         0.00012               7               0               0               0               0
  0         0.00012              55               0               0               0               0
  0         0.00012             550               0               0               0               0
  0         0.00012            5500               0               0               0               0
  0         0.00012           55000               0               0               0               0
  0        0.000165               7               0               0               0               0
  0        0.000165              55               0               0               0               0
  0        0.000165             550               0               0               0               0
  0        0.000165            5500               0               0               0               0
  0        0.000165           55000               0               0               0               0
  0        0.000225               7               0               0               0               0
  0        0.000225              55               0               0               0               0
  0        0.000225             550               0               0               0               0
  0        0.000225            5500               0               0               0               0
  0        0.000225           55000               0               0               0               0
  0         0.00031               7               0               0               0               0
  0         0.00031              55               0               0               0               0
  0         0.00031             550               0               0               0               0
  0         0.00031            5500               0               0               0               0
  0         0.00031           55000               0               0               0               0
  0        0.000425               7          17.402         2182.18         6.19048         6.19048
  0        0.000425              55               0               0               0               0
  0        0.000425             550               0               0               0               0
  0        0.000425            5500               0               0               0               0
  0        0.000425           55000               0               0               0               0
  0         0.00058               7         27.8026         319.536         3.08352         3.08352
  0         0.00058              55               0               0               0               0
  0         0.00058             550               0               0               0               0
  0         0.00058            5500               0               0               0               0
  0         0.00058           55000               0               0               0               0
  0        0.000795               7         16.9796         114.932         2.67621         2.67621
  0        0.000795              55               0               0               0               0
  0        0.000795             550               0               0               0               0
  0        0.000795            5500               0               0               0               0
  0        0.000795           55000               0               0               0               0
  1        0.001095               7          15.529         49.4511         1.57607         1.57607
  0        0.001095              55         14.1237         989.178          3.7182          3.7182
  0        0.001095             550               0               0               0               0
  0        0.001095            5500               0               0               0               0
  0        0.001095           55000               0               0               0               0
  1        0.001505               7         12.5204         26.0473         1.72812         1.72812
  0        0.001505              55         11.7565         162.427         2.01826         2.01826
  0        0.001505             550               0               0               0               0
  0        0.001505            5500               0               0               0               0
  0        0.001505           55000               0               0               0               0
  1         0.00207               7         7.29673         17.1862         1.26676         1.26676
  0         0.00207              55         6.78519         62.7214         2.21365         2.21365
  0         0.00207             550               0               0               0               0
  0         0.00207            5500               0               0               0               0
  0         0.00207           55000               0               0               0               0
  1        0.002845               7           5.726         10.9382         1.81646         1.81646
  1        0.002845              55         6.10657         27.6106        0.891256        0.891256
  0        0.002845             550               0               0               0               0
  0        0.002845            5500               0               0               0               0
