* FASER$\nu$2 $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 $\nu_{\mu}$'
   IndexDataset = 139
   Reaction = 'CC nup'

   NData = 66
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/grids-xsecs_A1/grids/nu_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat
1          0.001110        6.400000    7.018333e+00       30.199512
1          0.001520        6.700000    6.081258e+00       19.238797
1          0.001560       12.200000    7.437953e+00       17.567400
1          0.002080        6.800000    4.165626e+00       14.718513
1          0.002110       14.200000    4.000328e+00       11.811253
1          0.002850        6.900000    2.855679e+00       10.363217
1          0.002890       17.000000    3.010920e+00        7.635811
1          0.003910        6.900000    2.415689e+00        7.563947
1          0.003960       20.800000    2.060661e+00        5.325317
1          0.005370        6.900000    1.588036e+00        6.574706
1          0.005430       26.000000    1.513651e+00        4.525602
1          0.007380        7.000000    1.043167e+00        5.643706
1          0.007450       33.200000    1.051423e+00        3.782037
1          0.010130        7.000000    7.981848e-01        4.549438
1          0.010210       42.100000    7.677575e-01        3.013917
1          0.011110      106.200000    6.330274e-01       12.491048
1          0.013920        7.000000    5.524228e-01        4.146468
1          0.013980       47.700000    5.331498e-01        2.619283
1          0.014470      118.200000    4.911164e-01        6.993991
1          0.019120        7.000000    3.655770e-01        4.039604
1          0.019170       50.400000    3.796589e-01        2.347346
1          0.019570      136.400000    3.172695e-01        4.267150
1          0.026260        7.000000    2.647245e-01        3.422003
1          0.026310       52.000000    2.529453e-01        1.811733
1          0.026710      161.900000    2.082750e-01        2.668195
1          0.036080        7.000000    1.740991e-01        3.169092
1          0.036120       52.900000    1.769911e-01        1.535953
1          0.036570      197.000000    1.451202e-01        1.971459
1          0.049560        7.000000    1.207677e-01        3.278742
1          0.049610       53.600000    1.213222e-01        1.476816
1          0.050160      245.300000    9.138666e-02        1.716744
1          0.068080        7.000000    7.878523e-02        2.925969
1          0.068130       54.000000    7.951031e-02        1.216906
1          0.068830      312.100000    5.975433e-02        1.324385
1          0.093540        7.000000    5.345511e-02        2.749081
1          0.093580       54.300000    5.037460e-02        1.067094
1          0.094430      400.500000    3.757737e-02        1.121858
1          0.104560     1038.500000    2.491860e-02        6.828451
1          0.128510        7.000000    3.475027e-02        2.935819
1          0.128540       54.500000    3.176266e-02        1.090332
1          0.129220      467.100000    2.299767e-02        1.087320
1          0.134770     1146.900000    1.715058e-02        3.929529
1          0.176540        7.000000    2.069851e-02        2.810149
1          0.176570       54.600000    1.910624e-02        0.989404
1          0.177140      499.200000    1.351311e-02        0.894740
1          0.181200     1311.800000    9.659908e-03        2.087564
1          0.242540        7.000000    1.165258e-02        2.742144
1          0.242570       54.700000    1.002199e-02        0.922264
1          0.243090      516.800000    7.245493e-03        0.755477
1          0.246990     1546.300000    4.710032e-03        1.395555
1          0.333190        7.000000    5.850431e-03        3.214720
1          0.333230       54.800000    4.821868e-03        1.064794
1          0.333700      527.400000    3.207004e-03        0.808752
1          0.338100     1871.200000    1.878607e-03        1.316778
1          0.457760        7.000000    2.330760e-03        3.570611
1          0.457800       54.900000    1.637888e-03        1.165907
1          0.458240      534.200000    9.927281e-04        0.813647
1          0.463470     2318.400000    4.832429e-04        1.162617
1          0.628850        7.000000    5.191973e-04        3.668787
1          0.628890       54.900000    2.719923e-04        1.156615
1          0.629350      539.000000    1.499218e-04        0.736548
1          0.635870     2931.600000    5.593708e-05        0.989965
1          0.863960        7.000000    3.350380e-05        5.128701
1          0.863940       54.900000    1.840474e-05        1.580328
1          0.864450      542.300000    1.006087e-05        0.938121
1          0.872710     3772.600000    2.845323e-06        1.247782
