* FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 139
   Reaction = 'CC nup'

   NData = 145
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat
  0         0.00012               7               0               0
  0         0.00012              55               0               0
  0         0.00012             550               0               0
  0         0.00012            5500               0               0
  0         0.00012           55000               0               0
  0        0.000165               7               0               0
  0        0.000165              55               0               0
  0        0.000165             550               0               0
  0        0.000165            5500               0               0
  0        0.000165           55000               0               0
  0        0.000225               7               0               0
  0        0.000225              55               0               0
  0        0.000225             550               0               0
  0        0.000225            5500               0               0
  0        0.000225           55000               0               0
  0         0.00031               7               0               0
  0         0.00031              55               0               0
  0         0.00031             550               0               0
  0         0.00031            5500               0               0
  0         0.00031           55000               0               0
  0        0.000425               7              -0         9534.63
  0        0.000425              55               0               0
  0        0.000425             550               0               0
  0        0.000425            5500               0               0
  0        0.000425           55000               0               0
  0         0.00058               7               0         1502.44
  0         0.00058              55               0               0
  0         0.00058             550               0               0
  0         0.00058            5500               0               0
  0         0.00058           55000               0               0
  0        0.000795               7               0         550.816
  0        0.000795              55               0               0
  0        0.000795             550               0               0
  0        0.000795            5500               0               0
  0        0.000795           55000               0               0
  0        0.001095               7               0         234.823
  0        0.001095              55               0         4385.29
  0        0.001095             550               0               0
  0        0.001095            5500               0               0
  0        0.001095           55000               0               0
  0        0.001505               7              -0         126.477
  0        0.001505              55              -0         783.982
  0        0.001505             550               0               0
  0        0.001505            5500               0               0
  0        0.001505           55000               0               0
  0         0.00207               7               0         87.4817
  0         0.00207              55              -0         308.167
  0         0.00207             550               0               0
  0         0.00207            5500               0               0
  0         0.00207           55000               0               0
  0        0.002845               7               0          58.513
  0        0.002845              55               0          134.42
  0        0.002845             550               0               0
  0        0.002845            5500               0               0
  0        0.002845           55000               0               0
  1        0.003905               7         6.74774         43.8518
  0        0.003905              55               0         66.1992
  0        0.003905             550               0               0
  0        0.003905            5500               0               0
  0        0.003905           55000               0               0
  1        0.005365               7         3.56664          40.796
  1        0.005365              55          2.7125         41.4491
  0        0.005365             550               0               0
  0        0.005365            5500               0               0
  0        0.005365           55000               0               0
  1         0.00737               7         2.51646         38.3204
  1         0.00737              55         1.19411         26.4882
  0         0.00737             550               0               0
  0         0.00737            5500               0               0
  0         0.00737           55000               0               0
