* FASER$\nu$2 $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 $\nu_{\mu}$'
   IndexDataset = 140
   Reaction = 'CC nup'

   NData = 145
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/nu_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat          syst:C
  0         0.00012               7               0               0               0
  0         0.00012              55               0               0               0
  0         0.00012             550               0               0               0
  0         0.00012            5500               0               0               0
  0         0.00012           55000               0               0               0
  0        0.000165               7               0               0               0
  0        0.000165              55               0               0               0
  0        0.000165             550               0               0               0
  0        0.000165            5500               0               0               0
  0        0.000165           55000               0               0               0
  0        0.000225               7               0               0               0
  0        0.000225              55               0               0               0
  0        0.000225             550               0               0               0
  0        0.000225            5500               0               0               0
  0        0.000225           55000               0               0               0
  0         0.00031               7               0               0               0
  0         0.00031              55               0               0               0
  0         0.00031             550               0               0               0
  0         0.00031            5500               0               0               0
  0         0.00031           55000               0               0               0
  0        0.000425               7              -0         2012.15         6.07287
  0        0.000425              55               0               0               0
  0        0.000425             550               0               0               0
  0        0.000425            5500               0               0               0
  0        0.000425           55000               0               0               0
  0         0.00058               7               0           303.5         3.18688
  0         0.00058              55               0               0               0
  0         0.00058             550               0               0               0
  0         0.00058            5500               0               0               0
  0         0.00058           55000               0               0               0
  0        0.000795               7               0         107.635          2.3518
  0        0.000795              55               0               0               0
  0        0.000795             550               0               0               0
  0        0.000795            5500               0               0               0
  0        0.000795           55000               0               0               0
  1        0.001095               7         8.26146         46.3331        0.669143
  0        0.001095              55               0         903.429         4.16327
  0        0.001095             550               0               0               0
  0        0.001095            5500               0               0               0
  0        0.001095           55000               0               0               0
  1        0.001505               7          3.2365         24.9157         1.33111
  0        0.001505              55               0         155.413         2.93947
  0        0.001505             550               0               0               0
  0        0.001505            5500               0               0               0
  0        0.001505           55000               0               0               0
  1         0.00207               7           3.643         17.0749         1.11825
  0         0.00207              55               0         59.2732          1.7433
  0         0.00207             550               0               0               0
  0         0.00207            5500               0               0               0
  0         0.00207           55000               0               0               0
  1        0.002845               7          2.4161         11.2995         1.62643
  1        0.002845              55         3.12301         26.1682         1.46357
  0        0.002845             550               0               0               0
  0        0.002845            5500               0               0               0
  0        0.002845           55000               0               0               0
  1        0.003905               7         2.24059         7.74737         1.04827
  1        0.003905              55         1.93179         13.3545        0.913436
  0        0.003905             550               0               0               0
  0        0.003905            5500               0               0               0
  0        0.003905           55000               0               0               0
  1        0.005365               7         1.48818         6.41287        0.678015
  1        0.005365              55         1.39917         8.67386         1.02749
  0        0.005365             550               0               0               0
  0        0.005365            5500               0               0               0
  0        0.005365           55000               0               0               0
  1         0.00737               7         1.05117         5.39085         1.41271
  1         0.00737              55        0.908506         5.80774        0.961715
  0         0.00737             550               0               0               0
  0         0.00737            5500               0               0               0
  0         0.00737           55000               0               0               0
  1        0.010125               7        0.701836         4.28001        0.633704
  1        0.010125              55         0.66873         3.80937        0.712801
  0        0.010125             550               0         505.782         4.37452
  0        0.010125            5500               0               0               0
  0        0.010125           55000               0               0               0
  1         0.01391               7        0.493701          3.8481         1.70712
  1         0.01391              55        0.496348         2.96167         1.21231
  0         0.01391             550               0          74.429          1.1456
  0         0.01391            5500               0               0               0
  0         0.01391           55000               0               0               0
  1         0.01911               7         0.33912          3.8034         2.38298
  1         0.01911              55        0.362901         2.52916         1.03776
  1         0.01911             550        0.360142         24.0893          1.4237
  0         0.01911            5500               0               0               0
  0         0.01911           55000               0               0               0
  1        0.026255               7        0.234878         3.23458         2.65427
  1        0.026255              55        0.245769          1.8668         1.06478
  1        0.026255             550         0.16009         9.95223        0.539646
  0        0.026255            5500               0               0               0
  0        0.026255           55000               0               0               0
  1         0.03607               7        0.164683         2.96031         1.80233
  1         0.03607              55        0.171545         1.53716         1.05876
  1         0.03607             550        0.127762         5.32419        0.878073
  0         0.03607            5500               0               0               0
  0         0.03607           55000               0               0               0
  1        0.049555               7        0.107408         3.07671         4.17209
  1        0.049555              55        0.115051         1.45675        0.743154
  1        0.049555             550       0.0792241         3.56845        0.610037
  0        0.049555            5500               0               0               0
  0        0.049555           55000               0               0               0
  1         0.06808               7        0.070872         2.72123         4.92453
  1         0.06808              55       0.0747757         1.20394        0.784706
  1         0.06808             550       0.0566117         2.18668        0.913766
  0         0.06808            5500               0               0               0
  0         0.06808           55000               0               0               0
  1         0.09353               7       0.0507497         2.57535         8.67968
  1         0.09353              55       0.0478426         1.05781        0.937735
  1         0.09353             550       0.0365827         1.51067        0.327275
  0         0.09353            5500               0         602.139         4.64104
  0         0.09353           55000               0               0               0
  1          0.1285               7       0.0287677         2.73117         9.75911
  1          0.1285              55       0.0301699         1.08899         1.11402
  1          0.1285             550       0.0223948         1.29618        0.443069
  0          0.1285            5500               0         53.3534        0.944779
  0          0.1285           55000               0               0               0
  1         0.17654               7       0.0240002         2.82625         17.3424
  1         0.17654              55       0.0182396          1.0075           1.071
  1         0.17654             550       0.0133841          1.0109        0.666965
  1         0.17654            5500      0.00880777         13.6468        0.857935
  0         0.17654           55000               0               0               0
  1         0.24253               7       0.0143676         2.80018         21.3947
  1         0.24253              55       0.0101198        0.941068         1.36082
  1         0.24253             550      0.00722686        0.821793        0.340103
  1         0.24253            5500      0.00505601         5.79409        0.572843
  0         0.24253           55000               0               0               0
  1         0.33319               7      0.00652568         3.08168         13.5116
  1         0.33319              55      0.00467716         1.06922         2.00982
  1         0.33319             550      0.00315811        0.844614        0.352204
  1         0.33319            5500      0.00198756         3.86395        0.507912
  0         0.33319           55000               0               0               0
  1        0.457745               7      0.00234054         3.87586         24.4201
  1        0.457745              55      0.00155701         1.21019         2.99648
  1        0.457745             550     0.000964483        0.863477        0.504548
  1        0.457745            5500     0.000488462         2.64497        0.531052
  0        0.457745           55000               0               0               0
  1        0.628865               7     0.000519695         4.48593         13.5757
  1        0.628865              55      0.00024476         1.17266         3.46354
  1        0.628865             550     0.000145468        0.781121        0.772718
  1        0.628865            5500     5.27882e-05         1.76532        0.479123
  0        0.628865           55000               0               0               0
  1         0.86395               7     3.00958e-05         5.77523         40.7894
  1         0.86395              55     1.80825e-05         1.52451         2.55906
  1         0.86395             550     1.00547e-05        0.971744         0.67519
  1         0.86395            5500      2.8163e-06         1.71697        0.679902
  0         0.86395           55000               0               0               0
