* FASER$\nu$2 charm $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 charm $\bar{\nu}_{\mu}$'
   IndexDataset = 140
   Reaction = 'CC nup'

   NData = 29
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_charm_nub-a1/nub_A_1-FASERv2_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.005388843                6.467038       0.765007943164959        8.00758299065816                 2.10205                0.682638                  10.949
  1             0.007384477                6.583809       0.531516063953766          6.693661736762                 1.44066                0.748314                  8.2676
  1             0.007448337                18.18424       0.666261228857462        6.97333710033733                0.210532                 3.86608                0.606591
  1              0.01009093                6.690378       0.391323620211373        5.83302881648079                 1.15542                 2.23712                   6.898
  1              0.01019669                20.73814       0.416728945218147        5.10454062938561               0.0957718                 1.61181                 1.80362
  1              0.01383823                6.770906       0.218192129524239        5.30082183066377                 1.25041                 5.38201                 5.94497
  1              0.01396199                24.26331       0.294991714515536        3.93742971167796                0.080559                0.312941                 2.75202
  1              0.01894794                6.871934       0.151060885482899        5.01494392381868                0.901235                 8.46914                 7.26906
  1              0.01912659                 27.9014       0.213741230552955        3.16030030401937                0.090451                 2.60191                 3.65263
  1              0.02581723                7.362855       0.118337595476608         5.3596703397718                0.391782                 9.64447                 12.9994
  1              0.02625389                31.59091       0.110970422801767        2.65296047769665               0.0670411                 5.87941                 4.81574
  1              0.03523171                8.296967      0.0844109458588008        6.82342670773185                0.203753                 7.98685                 19.5654
  1              0.03603931                35.26657      0.0709646199790868        2.34783517031721                 0.06227                 7.54126                  4.6619
  1              0.03671495                138.1391      0.0794419044184687        8.18317573264065                0.188094                  6.5268                 9.11189
  1              0.04933452                38.61565      0.0446827521361159        2.18429097002253               0.0507832                 9.28937                 5.52745
  1               0.0500664                 151.468      0.0418538663998302        5.52037373949772                0.126912                 7.69334                 2.06693
  1              0.06729034                43.57782      0.0281534626782681        2.18817575251196               0.0346724                 10.6959                 6.27911
  1              0.06833304                168.4193      0.0235835723038511        4.14453446803365               0.0657942                 7.33596                0.596783
  1              0.09206443                49.45351      0.0128695617332432        2.32757424146795               0.0591207                 12.8242                 6.69817
  1              0.09324682                189.6843       0.011553644561558        3.38985746395231               0.0657771                  9.6683                  2.8725
  1               0.1262252                55.44017     0.00641172905828723        2.60963314873181               0.0367886                 15.9303                 7.50273
  1               0.1277418                214.8837     0.00568585995438213        2.98363089939252                0.027748                 12.2129                  5.1987
  1               0.1732662                61.97094      0.0035726638068086        3.18593014605762                0.055185                 16.5775                 7.13679
  1               0.1752363                242.4296     0.00220319831401665        2.87385705070974               0.0700493                 12.2103                 6.78551
  1               0.2364352                 69.4095     0.00130034886764076        4.50869228209428                0.115758                 9.70371                  3.0577
  1                0.239602                272.6704    0.000889513284339787        3.22234148232777               0.0376318                 3.73764                 4.91653
  1                 0.31831                78.41507    0.000459768707966866        7.85812291979277                0.127438                 6.59148                 2.83116
  1                0.324684                294.8834    0.000326236095402102        4.20086814069759                0.106293                  16.467                 0.30906
  0               0.4329117                311.9929    4.95065105995332e-05        6.55903547075652                0.144649                 66.6505                 11.2494
