* FASER$\nu$2_optimistic $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 optimistic $\bar{\nu}_{\mu}$'
   IndexDataset = 144
   Reaction = 'CC nup'

   NData = 145
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2_optimistic #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2_optimistic #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2_optimistic #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2_optimistic #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat          syst:C
  0         0.00012               7               0               0               0
  0         0.00012              55               0               0               0
  0         0.00012             550               0               0               0
  0         0.00012            5500               0               0               0
  0         0.00012           55000               0               0               0
  0        0.000165               7               0               0               0
  0        0.000165              55               0               0               0
  0        0.000165             550               0               0               0
  0        0.000165            5500               0               0               0
  0        0.000165           55000               0               0               0
  0        0.000225               7               0               0               0
  0        0.000225              55               0               0               0
  0        0.000225             550               0               0               0
  0        0.000225            5500               0               0               0
  0        0.000225           55000               0               0               0
  0         0.00031               7               0               0               0
  0         0.00031              55               0               0               0
  0         0.00031             550               0               0               0
  0         0.00031            5500               0               0               0
  0         0.00031           55000               0               0               0
  0        0.000425               7               0               0               0
  0        0.000425              55               0               0               0
  0        0.000425             550               0               0               0
  0        0.000425            5500               0               0               0
  0        0.000425           55000               0               0               0
  0         0.00058               7               0         3942.19         35.9375
  0         0.00058              55               0               0               0
  0         0.00058             550               0               0               0
  0         0.00058            5500               0               0               0
  0         0.00058           55000               0               0               0
  0        0.000795               7               0         971.226          10.566
  0        0.000795              55               0               0               0
  0        0.000795             550               0               0               0
  0        0.000795            5500               0               0               0
  0        0.000795           55000               0               0               0
  0        0.001095               7               0         235.849          3.7824
  0        0.001095              55               0           35100             100
  0        0.001095             550               0               0               0
  0        0.001095            5500               0               0               0
  0        0.001095           55000               0               0               0
  0        0.001505               7              -0         79.4676         2.45848
  0        0.001505              55              -0         1800.65         22.4026
  0        0.001505             550               0               0               0
  0        0.001505            5500               0               0               0
  0        0.001505           55000               0               0               0
  1         0.00207               7          3.5707         39.9823         2.07577
  0         0.00207              55              -0         509.098         9.43494
  0         0.00207             550               0               0               0
  0         0.00207            5500               0               0               0
  0         0.00207           55000               0               0               0
  1        0.002845               7         2.12569         21.4037         1.93583
  0        0.002845              55               0         119.904         2.51599
  0        0.002845             550               0               0               0
  0        0.002845            5500               0               0               0
  0        0.002845           55000               0               0               0
  1        0.003905               7         2.43361          13.674         1.55881
  1        0.003905              55         1.90806         37.1559         2.84465
  0        0.003905             550               0               0               0
  0        0.003905            5500               0               0               0
  0        0.003905           55000               0               0               0
  1        0.005365               7         1.55629         11.2627         2.55109
  1        0.005365              55         1.32352         16.8904         1.56537
  0        0.005365             550               0               0               0
  0        0.005365            5500               0               0               0
  0        0.005365           55000               0               0               0
  1         0.00737               7         1.11399         9.92237         2.41938
  1         0.00737              55        0.822304          8.2736          1.2551
  0         0.00737             550               0               0               0
  0         0.00737            5500               0               0               0
  0         0.00737           55000               0               0               0
  1        0.010125               7        0.726471         8.60018         2.20029
  1        0.010125              55        0.621537         4.36713         1.37801
  0        0.010125             550              -0           34600             200
  0        0.010125            5500               0               0               0
  0        0.010125           55000               0               0               0
  1         0.01391               7        0.532215         8.38279         1.96911
  1         0.01391              55        0.467505          3.1825        0.789934
  0         0.01391             550               0         994.071         13.9328
  0         0.01391            5500               0               0               0
  0         0.01391           55000               0               0               0
  1         0.01911               7        0.374179         8.91036         3.16986
  1         0.01911              55        0.351022         3.08118          1.0281
  0         0.01911             550               0         256.082         6.32173
  0         0.01911            5500               0               0               0
  0         0.01911           55000               0               0               0
  1        0.026255               7        0.270177         8.86061         2.17255
  1        0.026255              55        0.243585         2.72752         2.12864
  0        0.026255             550              -0          60.241         1.78728
  0        0.026255            5500               0               0               0
  0        0.026255           55000               0               0               0
  1         0.03607               7        0.210563         11.5655         2.82948
  1         0.03607              55        0.179977         2.84429         2.14533
  1         0.03607             550       0.0876905         19.2965         1.59219
  0         0.03607            5500               0               0               0
  0         0.03607           55000               0               0               0
  1        0.049555               7        0.128645         30.8284         10.1833
  1        0.049555              55        0.127662          3.3246         2.67754
  1        0.049555             550       0.0470536         9.58848         1.71144
  0        0.049555            5500               0               0               0
  0        0.049555           55000               0               0               0
  0         0.06808               7               0               0               0
  1         0.06808              55       0.0860671          2.9781         2.79885
  1         0.06808             550       0.0392218         4.99076         2.27537
  0         0.06808            5500               0               0               0
  0         0.06808           55000               0               0               0
  0         0.09353               7               0               0               0
  1         0.09353              55        0.058891         2.86588         2.19819
  1         0.09353             550       0.0250823         3.42837         1.34909
  0         0.09353            5500               0               0               0
  0         0.09353           55000               0               0               0
  0          0.1285               7               0               0               0
  1          0.1285              55       0.0413205          3.4157         2.00956
  1          0.1285             550       0.0156603         3.35471         1.33597
  0          0.1285            5500               0         1916.18         13.9706
  0          0.1285           55000               0               0               0
  0         0.17654               7               0               0               0
  1         0.17654              55       0.0286264         3.81733           3.383
  1         0.17654             550       0.0111113         3.06021         1.52875
  0         0.17654            5500              -0          373.58         2.74948
  0         0.17654           55000               0               0               0
  0         0.24253               7               0               0               0
  1         0.24253              55       0.0192743         4.40468         5.76557
  1         0.24253             550      0.00780862         2.55107         1.46939
  0         0.24253            5500               0         95.5852         2.32983
  0         0.24253           55000               0               0               0
  0         0.33319               7               0               0               0
  1         0.33319              55       0.0104588         7.10375         5.78159
  1         0.33319             550      0.00442034         2.72282         2.04215
  1         0.33319            5500      0.00110824         40.4987         3.00146
  0         0.33319           55000               0               0               0
  0        0.457745               7               0               0               0
  1        0.457745              55      0.00436282         20.6844         12.4223
  1        0.457745             550      0.00189982         3.19701         2.70072
  1        0.457745            5500     0.000277961         19.5027         1.49327
  0        0.457745           55000               0               0               0
  0        0.628865               7               0               0               0
  0        0.628865              55               0               0               0
  1        0.628865             550     0.000455148         3.00032         4.25799
  1        0.628865            5500     3.76266e-05         9.71686         3.06743
  0        0.628865           55000               0               0               0
  0         0.86395               7               0               0               0
  0         0.86395              55               0               0               0
  1         0.86395             550      1.9885e-05         3.97918         3.83827
  1         0.86395            5500     1.68841e-06          8.1477         1.59855
  0         0.86395           55000               0               0               0
