* FASER$\nu$ inclusive $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ inclusive $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 147
   Reaction = 'CC nup'

   NData = 56
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv_inclusive_nochargediscrimination-a1/nu_A_1-FASERv_inclusive-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv_inclusive_nochargediscrimination-a1/nub_A_1-FASERv_inclusive-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu inclusive #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const
  0            0.0006596677                4.053784       -19.3722398586943        1784.07875605713                 19.9061
  1            0.0008250394                  4.8725        17.8852236270117        663.484378659257                 14.5509
  1             0.001126515                5.154549        24.7703486662996        290.671865626875                 7.64737
  1             0.001534103                5.493185        20.6580817156171        162.181132111204                 10.5256
  0             0.001538907                10.98001       -47.2162234702732        933.089259594623                 12.4957
  1             0.002074674                5.813512       0.486562636195084         118.53288026622                 1.33724
  0             0.002112753                11.97134       -14.6519965550136        370.652606670621                 2.64974
  1              0.00288829                6.084047        3.89183305741941        82.3945249225731                 4.88807
  1             0.002928255                13.20824        14.8253209717514        168.123365196052                 1.79627
  1             0.003929369                6.236108        5.19763726596695        59.7047890505027                 5.26633
  0             0.003993866                14.22754      -0.665598383281239        92.0231454704504                 2.37454
  1             0.005316752                6.378301        4.16406142343108        51.7223769084909                 2.86986
  1             0.005385031                15.91245        1.43342628736986        62.8717413156762                 2.19029
  1             0.007429593                6.462631        2.36612899183582        44.1690183160402                0.522396
  1             0.007487897                18.01345        1.74183236191099        44.6638098997924                 5.64106
  1              0.01013499                6.583213        1.39119280626412        35.2282714749824                  6.2108
  1               0.0102329                20.51204        1.54282299808612        30.1595617917638                 1.66961
  1              0.01124451                105.8302        32.5705107909235        3380.12033718542                 41.5645
  1              0.01380075                6.641481       0.804758886750409        31.8470039750779                 4.87509
  1              0.01390346                23.64983        0.83894315048914        23.7579543774052                 1.03996
  1              0.01469761                110.5858       0.208473355101126        451.399761843245                 18.6493
  1              0.01913604                  6.7133       0.623444997616904         31.220504982767                 4.04179
  1              0.01928946                27.06432       0.699039205863275         20.311343826425                 8.34488
  0              0.01993686                118.0536     -0.0692189280627713        153.779802381235                 3.81526
  1              0.02598706                7.252433       0.533230504346294        29.1346778225488                 2.50652
  1              0.02638804                30.55793       0.373543006917974        15.1228941409531                0.843239
  1              0.02699093                 125.705        0.53333637522416        64.8145083031217                 2.88616
  1              0.03513355                8.237036       0.376066704073147        34.7842147617486                 1.72082
  1              0.03594412                 33.6002       0.257034044456025        12.6638219815354                 3.77594
  1              0.03662194                136.5758       0.195576736372603        37.3478968491095                 4.57658
  1              0.04531038                9.235032       0.448583566518908        73.0274143185885                 7.92095
  1              0.04948925                35.98799       0.153093554402256        12.2951372559335                 8.65526
