* AdvSND inclusive $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'AdvSND inclusive $\bar{\nu}_{\mu}$'
   IndexDataset = 151
   Reaction = 'CC nup'

   NData = 27
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-AdvSND_inclusive_nub-a1/nub_A_1-AdvSND_inclusive-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:AdvSND inclusive #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:AdvSND inclusive #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:AdvSND inclusive #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:AdvSND inclusive #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1              0.02625264                6.641941               0.2340512        9.40280692944128                0.926798                 1.65242                 8.35049
  1              0.02644997                26.56858               0.2233576        7.32054452129307                0.114739                 0.19856                 2.78259
  1              0.03583669                 6.70858                0.173026        8.37600193634613                0.779793                 4.78975                 9.67652
  1              0.03601014                29.52208               0.1592385        5.74042171223551                0.104546                 2.93606                 6.80556
  1               0.0493705                6.724946              0.09548685        8.55765231095514                0.440728                 13.6394                 3.32137
  1              0.04959815                32.04062              0.07868567        5.50903519295746                0.244666                  22.659                  2.9352
  1               0.0680389                6.746449              0.08388102        7.37626773744233                0.368529                 4.16667                 4.67375
  1              0.06837286                34.72293              0.06917828        4.27073626666856              0.00287927                 0.59457                 3.03931
  1              0.09287705                6.795042              0.06481983        6.75153501474617                0.462871                 13.0684                 10.6496
  1              0.09321786                36.73848              0.05264322        3.63168090605957               0.0650684                 10.9059                 7.71976
  1               0.0942054                166.8224              0.03513436        8.35515550566567               0.0914628                 15.2704                 1.45173
  1                0.125763                7.211411              0.03582328        7.74407953563433                0.117758                 2.02559                  7.9522
  1               0.1270136                37.87346              0.02584196        3.74829997920636               0.0555691                 11.5397                 3.22663
  1               0.1277503                181.5985              0.01395513        7.81638359917178               0.0480921                 13.7906                 2.23273
  1               0.1731009                8.191351              0.02844479         9.3713981595814               0.0748569                 8.40269                 24.3318
  1               0.1767713                39.34255              0.02144396        3.24129585646448               0.0522598                 5.65637                 2.17182
  1               0.1783932                203.1335              0.01155083        5.62519756995677                0.029141                 6.18006                 1.05951
  1               0.2411669                41.06999              0.01634724        2.88448875639309               0.0382074                 22.4187                 10.4631
  1               0.2427601                226.2069              0.00862647        4.36485815032628               0.0107701                 24.2323                 6.54098
  1               0.3230664                43.43683             0.008655766        3.34546335670808                0.063031                 4.77034                 1.72082
  1               0.3231593                239.6212             0.004450664        4.61499780735056               0.0442613                 2.25733                 2.76105
  1               0.4555412                48.10796               0.0043053        3.87995398281672              0.00290309                 4.13536                0.540943
  1               0.4606581                253.0259             0.002122691         4.7120663087451               0.0748801                 8.16778                 3.82444
  1               0.6207431                54.03413             0.003074392        3.84036724742006               0.0145755                 33.5288                 15.0141
  1                0.627321                276.7692             0.001584245        3.89518816764625               0.0190347                 30.4012                 11.1134
  1               0.8169669                60.09168             0.001509361        5.43651007108129               0.0938978                 26.5495                 14.1859
  1               0.8249494                298.7087            0.0007930143        4.47660599152267               0.0630823                 19.2715                 17.4142
