* FESST inclusive $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FESST inclusive $\nu_{\mu}$'
   IndexDataset = 137
   Reaction = 'CC nup'

   NData = 48
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FESST_inclusive_nu-a1/nu_A_1-FESST_inclusive-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FESST inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FESST inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FESST inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FESST inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.002884258                6.105356                3.971292        7.44815584478984                 6.66667                 6.21469                 3.44633
  1             0.003949937                6.074304                2.934697        5.32590221260074                 6.02151                 4.00538                 2.28495
  1             0.003963049                15.20433                3.504386        8.94556747988819                  5.5303                 6.28788                 4.54545
  1             0.005394271                6.260162                2.094168        3.96707548993008                 3.01508                 4.77387                0.938023
  1             0.005467587                17.16298                2.460945        5.70756290476004                 3.40278                 4.89583                 1.18056
  1             0.007373206                6.437677                1.492156        3.12453846619454                 3.82166                 1.19958                 2.04883
  1             0.007505228                18.19777                1.727568        3.80977663649462                 1.72026                 3.23151                 1.14148
  1              0.01014143                6.498238                 1.06615        2.54747553409651                  3.6853                 1.43547                 1.26984
  1              0.01023593                20.58224                1.186622        2.72690761857667                 1.11024                 5.77165                0.527559
  1              0.01390584                6.545022               0.7830678         2.1377862558789                 2.72066                 1.25606                 1.66343
  1              0.01394887                23.20699                0.867541        2.02649381390759                0.568761                 2.52547                0.475382
  1              0.01905917                6.646314                0.584355        1.86362135043943                 3.68823                 2.24201                 1.62064
  1              0.01921382                25.75829               0.6305594        1.53317201835455                0.593765                 3.37704                0.546759
  1              0.02614038                6.644581               0.4280878        1.66768429706464                 2.53529                 1.40294                 1.34412
  1              0.02635204                28.14175               0.4500378        1.20913728812692                0.415568                 2.37711                0.348891
  1              0.02668449                134.5555               0.4330463        6.29879051535512                 2.49027                 3.42412                 1.78988
  1               0.0359432                 6.70471               0.3075361        1.53826876015426                 2.04612                 1.82039                 1.40049
  1              0.03614857                31.29573               0.3190451       0.998218367554361                 0.24522                 1.70823                0.455112
  1              0.03667041                148.8292               0.3019655        3.75748147913883                   1.456                     2.8                   1.232
  1               0.0493179                6.681385               0.2187532        1.44217632036027                 2.74706                 1.80017                 1.96125
  1              0.04957151                 33.7953               0.2237393       0.852926156080087                0.629112                0.402268                0.438563
  1              0.05026061                162.4384               0.2064611        2.49061769963984                0.668486                 2.27149                 0.42292
  1              0.06772821                 6.75886               0.1551914        1.38630137776095                 1.76659                 2.55795                 1.22102
  1              0.06787599                36.57346               0.1554514       0.758352000046008                0.149072                 2.20018                 0.26042
  1              0.06864226                179.3482               0.1397938        1.76596649085865                0.381328                 1.46943                0.309007
  1              0.09273678                6.789717               0.1143169        1.36709142046664                 2.43387                 2.93435                 2.80114
  1              0.09298054                38.88178               0.1126888       0.687274661315928                0.248553                0.987223                0.202635
  1              0.09388111                 200.627              0.09887846        1.30660153327741                0.419735                0.578056                0.432622
  1               0.1259861                7.203425              0.08227859        1.44452169659921                0.541565                0.956095                 10.3209
  1               0.1277148                40.28484              0.07860366         0.6481452075005                0.373201                0.690421                0.486494
  1               0.1284916                224.5407              0.06795774        1.03918490050617                0.420385                 1.75082                0.186707
  1               0.1718335                8.181378               0.0563488        1.87416832632588                 1.39181                 2.23269                 19.4128
  1               0.1750011                41.40218              0.05232236       0.641335759524129                0.402279                 1.65185                0.533494
  1               0.1762285                244.8023              0.04431932       0.906083185692494                0.247008                 5.10653                0.332739
  1               0.1824558                1167.775              0.03067858        9.44441074786195                 3.30508                 17.1186                 5.08475
  1               0.2241541                9.194883              0.03777545        3.66551139673009                 1.95087                 2.70231                 32.0231
  1               0.2399278                42.13137              0.03207573       0.659605192056853                0.346354                 2.91473                 2.31887
  1               0.2410915                270.1091              0.02648571       0.836057185875064                0.347507                 7.33211                0.228739
  1               0.2468221                1246.962              0.01817482        5.41193258369046                 2.00658                 9.24342                 3.22368
  1                0.326952                44.56016              0.01704645       0.767328332908421                0.188702                 4.40305                 3.64092
  1               0.3287457                286.6802              0.01355772       0.864274717813229                0.498866                 9.26265                0.577058
  1                0.333412                1383.442              0.00889511        4.03031116184828                0.883978                 11.3444                 1.32597
  1               0.4417428                47.93303             0.007890033        1.03296767904313                0.443017                 5.61745                 4.80563
  1               0.4443748                303.2706             0.005881129        1.06146304518522                0.658508                 7.26807                 1.24709
  1               0.4455011                1485.876             0.003676348          4.007502305826                 1.07584                  4.5679                 1.07584
  1               0.5967704                51.94311             0.001990365        1.88766988468099                0.470053                 6.85368                 4.63609
  1               0.5990291                310.1127             0.001352437        1.82979200692127                0.264624                 26.6191                 2.48607
  1               0.6028209                1543.547            0.0007596149        6.05578107104967                 2.38683                 61.6872                 1.02881
