* FLArE100 charm $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FLArE100 charm $\nu_{\mu}$'
   IndexDataset = 162
   Reaction = 'CC nup'

   NData = 43
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FLArE100_charm_nu-a1/nu_A_1-FLArE100_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FLArE100 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FLArE100 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FLArE100 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FLArE100 charm #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.003931805                6.235888               0.6911645        8.36662550645263                 14.5105                0.282046                 13.3675
  1             0.005316085                6.394051               0.4355648        7.16113105119002                 9.03179                 10.8683                 10.7591
  1             0.005392828                16.06079               0.5293825        9.65290078633332                 1.36692                 16.7545                0.224566
  1             0.007419874                6.496536               0.2762424        6.09453505980639                0.750497                 15.2876                 7.73763
  1             0.007494512                18.11944               0.3574856         6.6953308197099                 10.0319                 21.2445                 2.45057
  1               0.0101294                6.609779               0.2288386        4.83726602618551                 29.4714                 5.49562                 9.84416
  1              0.01023253                20.80033                0.308005        4.40040353656034                 34.0426                0.409861                 1.81022
  1              0.01374929                6.676104               0.1509089        4.51445114389392                 33.7183                  2.0864                 9.58436
  1              0.01387653                24.00317               0.2024331        3.49065799766541                 37.5651                 2.98532                 5.76971
  1              0.01912345                6.756682              0.07813956        4.67823011901953                 28.7617                 16.3436                 3.18391
  1              0.01928101                27.74181               0.1046085        3.09807807853925                   29.94                   22.09                 1.76118
  1              0.02614586                6.802928              0.06493383        4.00796474705478                 50.2937                 9.96436                 7.11322
  1              0.02636305                31.50352              0.08667672        2.32078989918358                 49.4403                 4.97315                 4.55552
  1              0.03564124                6.853199              0.04419878        3.92766401731228                 56.8645                   15.49                  8.3849
  1              0.03582534                34.99275              0.05921268        1.98704858380161                 54.1966                 9.70922                 8.96551
  1              0.03655656                137.3217              0.05978671        7.08523342228862                 51.7026                 10.8352                 7.11757
  1              0.04898269                6.860311              0.01828522        4.66538523989641                 47.5456                 8.71408                 12.7246
  1              0.04928144                38.20047              0.02430015        2.14626664774947                 39.2849                 20.4225                 5.25621
  1              0.05006571                150.1216              0.02457243        5.45356642246021                 33.6171                  17.097                 6.57358
  1              0.06772841                 6.86966              0.01524064        4.37913044011876                 62.2422                 14.3887                 1.14236
  1              0.06807114                40.90077              0.02045607        1.85936987353702                 53.5067                 6.97789                 4.05221
  1              0.06896988                166.8715              0.02022909         3.6084121136207                 48.0704                 9.17967                 1.12664
  1              0.09241375                6.894281              0.01089141        4.29968220397735                 70.5326                 26.5007                  8.8248
  1              0.09267843                42.92863              0.01456008        1.71082392182551                 60.7543                 20.0471                 9.57057
  1               0.0935842                186.8689               0.0140385        2.70213833226731                 53.7706                 19.1381                 6.39778
  1               0.1258319                6.871349             0.004655155        5.27713340310217                 65.8465                 10.8471                  12.375
  1               0.1256611                44.26814             0.005721021        2.06695419240727                  47.681                 6.13913                 8.43228
  1               0.1266663                211.8313             0.005148186        2.77220129739882                 33.5026                 9.90352                0.234194
  1               0.1754497                6.883159             0.003319328        5.43873048251154                 73.5145                 25.5531                  4.2732
  1               0.1758581                45.21495             0.003946594        2.07213213017223                 53.9399                 8.46742                 1.80101
  1               0.1770964                242.3769             0.003644482        2.42230745850745                 38.5803                 7.26241                 2.06985
  1               0.2390956                6.893626             0.002319659        5.51614073223899                 80.6909                 42.2483                 8.15383
  1               0.2395843                   46.39             0.002772625         2.0403588228021                 62.7855                 28.1541                 9.67949
  1               0.2408963                272.0553             0.002528302        2.12633253728482                 47.3055                 25.9918                 11.0695
  1               0.3187112                6.892708             0.001047442         7.6129524705926                 77.0751                 28.0377                 14.4073
  1                0.318715                46.55345               0.0012468        2.78006093338445                 47.2337                 2.79133                 11.2107
  1               0.3192757                293.1994             0.001115502        2.64182521182005                 16.7948                 6.02458                 1.72791
  1               0.4545951                46.73557             0.000383458        3.81407235546357                 27.6219                 20.9564                 33.6397
  1                0.456856                315.2599            0.0003202809        3.38066652228151                 28.7792                 35.4805                  14.875
  1               0.6209029                47.02875            0.0002684321        3.87307761888004                 47.2923                 24.6084                 1.90826
  1               0.6215019                 332.005            0.0002243295        3.24037449396432                0.258632                 17.0525                 10.1772
  1               0.8161521                48.34656            0.0001308537        5.37184141984105                 34.2104                 21.3148                0.633635
  1               0.8201332                345.4859            0.0001071483        4.34424728991153                 43.5631                 2.72756                 8.05241
