* FLArE100 charm $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FLArE100 charm $\bar{\nu}_{\mu}$'
   IndexDataset = 164
   Reaction = 'CC nup'

   NData = 33
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FLArE100_charm_nub-a1/nub_A_1-FLArE100_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FLArE100 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FLArE100 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FLArE100 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FLArE100 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.007443924                6.365303               0.2543539        8.51635985961411                 13.5283                 11.7947                 9.58096
  1              0.01014179                 6.50912               0.2107836         6.5635736462929                  38.993                 8.08407                 11.0531
  1              0.01025495                17.96417               0.2711151         7.3972242194622                 40.2156                0.825072                0.401446
  1              0.01376183                6.594585               0.1384201        5.91896736076369                 44.5457                 4.86179                 10.2603
  1              0.01389593                20.50151               0.1848574        5.66720463001771                 43.8149                 1.50865                 5.15676
  1              0.01913992                6.688355              0.07040353        6.08361609270955                 40.0478                 12.5312                0.947046
  1               0.0193176                23.72579              0.09643329        4.74458175934203                  37.091                 19.2168                 2.42338
  1                0.026169                6.748239              0.05834506        5.15215560296441                 59.6403                  15.107                  8.2422
  1              0.02639656                27.26218              0.07929557        3.43285077133439                  54.545                 7.81079                 4.03041
  1              0.03561622                6.814108              0.03907042        5.03807714419515                 65.6692                 21.8488                 9.75355
  1              0.03584291                 30.8678              0.05333321        2.93505083858029                 58.9062                 13.6481                 9.02986
  1              0.04889989                6.845746              0.01445666        6.29814284971954                 56.3073                 3.29836                 15.0881
  1              0.04927859                34.59883              0.02038253        3.15649827731536                 43.3806                 17.9839                 4.61098
  1              0.06771835                6.861881               0.0118419        5.86376609975894                 69.2452                 23.1255                  2.0891
  1              0.06809951                37.79945              0.01699523         2.7073461417803                 56.7701                 11.2921                 4.04733
  1              0.06918005                150.0018              0.01709924        7.23445490434572                 49.6587                 12.6869                  6.0521
  1               0.0921613                6.898312             0.008035615        5.99907508542864                 76.7328                 36.4087                 9.72168
  1              0.09255191                40.33822               0.0117316        2.50340739310926                 63.4494                  25.655                 11.7942
  1              0.09363727                  164.28              0.01153273        5.12105700291179                 54.3169                 22.9154                 6.20397
  1               0.1241742                6.900716             0.002709003        8.43522932646469                 68.6025                 11.3354                 24.0934
  1               0.1244815                42.35413             0.003965937        3.35110579262462                 43.0166                 10.8461                  12.063
  1               0.1257513                181.3104             0.003582876        5.71429877556991                 21.9942                 17.6408                 1.05269
  1               0.1753313                6.920409              0.00151965        9.49034845013186                 74.1453                 25.1731                  17.268
  1               0.1758908                43.92728              0.00230153        3.54452308864012                 45.4282                  3.4063                 5.07949
  1                0.177323                206.1645             0.002213368        5.00338958950419                 22.7775                 1.23043                 1.52925
  1               0.2386644                6.937467             0.001026672        9.89119683481701                 83.0061                 48.4105                  6.3659
  1               0.2393442                45.33498             0.001583754        3.47778232951749                 57.9363                 30.2877                 10.5336
  1               0.2408815                230.5902             0.001510411        4.37483025968187                 34.4042                 26.1212                 12.6778
  1               0.3130815                45.90305            0.0006873699         5.2840225980624                 31.3547                 3.31742                 16.0807
  1               0.3138794                249.7556            0.0006504424        6.14558681676276                  20.907                 18.4145                 3.75113
  1               0.4552444                46.87338            9.303939e-05         9.9112369362794                 68.1773                 109.271                 102.172
  1               0.6203409                47.48352             6.66098e-05        9.92013123827088                 5.76108                 2.43124                  17.291
  1               0.6228517                283.0768            6.050479e-05        9.86545487813661                 142.188                 15.4469                  6.0668
